Donegal Price to Free Cash Flow Ratio Historical Data,Donegal Price to Free Cash Flow Ratio Historical Data,Donegal Price to Free Cash Flow Ratio Historical Data,Donegal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.4,,9.23
2024-12-31,15.47,$1.99,7.76
2024-09-30,14.57,$1.25,11.7
2024-06-30,12.58,$1.26,9.97
2024-03-31,13.63,$1.03,13.25
2023-12-31,13.34,$0.86,15.47
2023-09-30,13.43,$1.34,10.03
2023-06-30,13.44,$1.39,9.7
2023-03-31,14.06,$1.41,9.94
2022-12-31,12.93,$2.10,6.16
2022-09-30,12.14,$2.16,5.62
2022-06-30,15.17,$1.70,8.95
2022-03-31,11.79,$2.17,5.42
2021-12-31,12.42,$2.52,4.93
2021-09-30,12.46,$3.01,4.13
2021-06-30,12.4,$3.71,3.34
2021-03-31,12.51,$4.06,3.08
2020-12-31,11.72,$3.43,3.42
2020-09-30,11.6,$3.29,3.52
2020-06-30,11.6,$3.56,3.26
2020-03-31,12.27,$2.58,4.76
2019-12-31,11.84,$2.65,4.47
2019-09-30,11.6,$1.83,6.35
2019-06-30,11.96,$1.71,7.0
2019-03-31,10.43,$2.29,4.56
2018-12-31,10.46,$2.25,4.65
2018-09-30,10.78,$2.79,3.87
2018-06-30,10.23,$2.62,3.9
2018-03-31,11.75,$2.61,4.5
2017-12-31,12.77,$2.92,4.37
2017-09-30,11.81,$2.75,4.29
2017-06-30,11.53,$2.75,4.19
2017-03-31,12.67,$2.46,5.16
2016-12-31,12.47,$2.20,5.67
2016-09-30,11.39,$2.39,4.76
2016-06-30,11.56,$2.23,5.19
2016-03-31,9.99,$2.56,3.91
2015-12-31,9.69,$2.43,3.98
2015-09-30,9.59,$2.40,4.0
2015-06-30,10.29,$2.77,3.71
2015-03-31,10.53,$2.13,4.95
2014-12-31,10.61,$1.56,6.8
2014-09-30,10.12,$1.36,7.43
2014-06-30,9.99,$1.11,9.01
2014-03-31,9.44,$1.40,6.75
2013-12-31,10.2,$1.70,6.01
2013-09-30,8.91,$1.63,5.45
2013-06-30,8.81,$1.42,6.22
2013-03-31,9.55,$1.01,9.44
2012-12-31,8.7,$0.94,9.3
2012-09-30,8.62,$0.63,13.79
2012-06-30,8.08,$0.57,14.27
2012-03-31,8.24,$0.57,14.47
2011-12-31,8.47,$0.81,10.41
2011-09-30,7.14,$1.10,6.48
2011-06-30,7.51,$1.05,7.14
2011-03-31,7.78,$1.21,6.45
2010-12-31,8.35,$0.84,9.99
2010-09-30,7.47,$1.03,7.23
2010-06-30,6.96,$1.18,5.88
2010-03-31,8.15,$1.10,7.38
2009-12-31,8.66,$1.30,6.66
