S&T Bancorp Price to Free Cash Flow Ratio Historical Data,S&T Bancorp Price to Free Cash Flow Ratio Historical Data,S&T Bancorp Price to Free Cash Flow Ratio Historical Data,S&T Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.24,,8.42
2024-12-31,38.22,$4.42,8.64
2024-09-30,41.63,$3.76,11.08
2024-06-30,32.85,$4.53,7.25
2024-03-31,31.23,$4.39,7.11
2023-12-31,32.2,$4.30,7.49
2023-09-30,25.77,$4.43,5.81
2023-06-30,25.62,$4.28,5.98
2023-03-31,29.27,$4.97,5.89
2022-12-31,31.54,$6.07,5.2
2022-09-30,26.82,$6.27,4.28
2022-06-30,24.85,$6.06,4.1
2022-03-31,26.53,$5.32,4.98
2021-12-31,28.01,$5.41,5.18
2021-09-30,25.95,$5.71,4.54
2021-06-30,27.29,$5.30,5.15
2021-03-31,28.97,$5.03,5.76
2020-12-31,21.27,$1.18,18.01
2020-09-30,14.93,$1.07,14.0
2020-06-30,19.54,$1.32,14.86
2020-03-31,22.49,$1.45,15.49
2019-12-31,32.92,$3.85,8.56
2019-09-30,29.64,$3.77,7.85
2019-06-30,30.19,$3.38,8.93
2019-03-31,31.63,$3.31,9.56
2018-12-31,30.07,$3.55,8.46
2018-09-30,34.23,$3.23,10.61
2018-06-30,33.94,$3.56,9.53
2018-03-31,31.17,$3.38,9.21
2017-12-31,30.9,$3.16,9.79
2017-09-30,30.55,$2.98,10.25
2017-06-30,27.54,$2.87,9.59
2017-03-31,26.42,$2.81,9.41
2016-12-31,29.65,$2.68,11.05
2016-09-30,21.87,$1.98,11.06
2016-06-30,18.31,$2.22,8.26
2016-03-31,19.14,$1.78,10.74
2015-12-31,22.73,$1.65,13.81
2015-09-30,23.91,$2.27,10.51
2015-06-30,21.57,$1.70,12.69
2015-03-31,20.55,$2.31,8.89
2014-12-31,21.45,$2.46,8.72
2014-09-30,16.77,$2.47,6.8
2014-06-30,17.64,$2.75,6.42
2014-03-31,16.71,$3.10,5.4
2013-12-31,17.71,$2.83,6.27
2013-09-30,16.84,$2.41,6.98
2013-06-30,13.54,$2.90,4.67
2013-03-31,12.71,$2.75,4.62
2012-12-31,12.29,$2.82,4.36
2012-09-30,11.87,$3.18,3.74
2012-06-30,12.34,$2.94,4.2
2012-03-31,14.38,$2.67,5.39
2011-12-31,12.87,$2.56,5.02
2011-09-30,10.55,$3.17,3.33
2011-06-30,12.04,$2.72,4.43
2011-03-31,13.87,$2.54,5.47
2010-12-31,14.43,$3.08,4.69
2010-09-30,11.04,$1.81,6.1
2010-06-30,12.44,$2.32,5.35
2010-03-31,13.07,$2.40,5.45
2009-12-31,10.55,$1.96,5.38
