Logistic Properties Of The Americas Price to Free Cash Flow Ratio Historical Data,Logistic Properties Of The Americas Price to Free Cash Flow Ratio Historical Data,Logistic Properties Of The Americas Price to Free Cash Flow Ratio Historical Data,Logistic Properties Of The Americas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.18,,40.81
2024-09-30,9.57,$0.22,42.57
2024-06-30,10.5,$-0.08,0.0
2024-03-31,16.0,$-0.04,0.0
2023-12-31,10.59,$-0.04,0.0
2023-09-30,10.48,$-0.12,0.0
2023-06-30,10.3,$-0.02,0.0
2023-03-31,10.25,$-0.02,0.0
2022-12-31,10.07,$-0.07,0.0
2022-09-30,9.89,$-0.27,0.0
2022-06-30,9.77,$-0.28,0.0
2022-03-31,9.78,$-0.40,0.0
2021-12-31,9.73,$-0.36,0.0
