BTC Digital Price to Free Cash Flow Ratio Historical Data,BTC Digital Price to Free Cash Flow Ratio Historical Data,BTC Digital Price to Free Cash Flow Ratio Historical Data,BTC Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.61,,5.28
2024-09-30,1.61,$0.87,1.85
2024-06-30,2.14,$-2.16,0.0
2024-03-31,3.5,$1.07,3.26
2023-12-31,4.82,$1.25,3.85
2023-09-30,3.58,$0.14,25.81
2023-03-31,0.22,$240.38,0.0
2021-06-30,29.11,$166.76,0.17
2021-03-31,72.3,$104.15,0.69
2020-09-30,173.7,$31.66,5.49
2019-12-31,308.1,$-237.10,0.0
2019-09-30,304.5,$-166.76,0.0
