MRC Global Price to Free Cash Flow Ratio Historical Data,MRC Global Price to Free Cash Flow Ratio Historical Data,MRC Global Price to Free Cash Flow Ratio Historical Data,MRC Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.29,,4.29
2024-12-31,12.78,$2.86,4.46
2024-09-30,12.74,$3.21,3.97
2024-06-30,12.91,$3.15,4.1
2024-03-31,12.57,$2.72,4.62
2023-12-31,11.01,$1.96,5.6
2023-09-30,10.25,$0.86,11.97
2023-06-30,10.07,$0.26,38.73
2023-03-31,9.72,$-0.57,0.0
2022-12-31,11.58,$-0.37,0.0
2022-09-30,7.19,$0.03,277.61
2022-06-30,9.96,$-0.73,0.0
2022-03-31,11.91,$0.15,80.09
2021-12-31,6.88,$0.59,11.58
2021-09-30,7.34,$1.46,5.01
2021-06-30,9.4,$2.97,3.16
2021-03-31,9.03,$3.26,2.77
2020-12-31,6.63,$3.41,1.94
2020-09-30,4.28,$3.29,1.3
2020-06-30,5.91,$3.62,1.63
2020-03-31,4.26,$3.60,1.18
2019-12-31,13.64,$2.68,5.09
2019-09-30,12.13,$2.88,4.21
2019-06-30,17.12,$1.37,12.52
2019-03-31,17.48,$0.09,195.53
2018-12-31,12.23,$-0.27,0.0
2018-09-30,18.77,$-1.84,0.0
2018-06-30,21.67,$-2.00,0.0
2018-03-31,16.44,$-1.75,0.0
2017-12-31,16.92,$-0.78,0.0
2017-09-30,17.49,$-0.52,0.0
2017-06-30,16.52,$0.01,1501.82
2017-03-31,18.33,$1.43,12.78
2016-12-31,20.26,$2.27,8.92
2016-09-30,16.43,$4.08,4.03
2016-06-30,14.21,$5.68,2.5
2016-03-31,13.14,$6.25,2.1
2015-12-31,12.9,$6.39,2.02
2015-09-30,11.15,$4.01,2.78
2015-06-30,15.44,$1.89,8.16
2015-03-31,11.85,$0.61,19.52
2014-12-31,15.15,$-1.22,0.0
2014-09-30,23.32,$-0.02,0.0
2014-06-30,28.29,$0.77,36.6
2014-03-31,26.96,$0.59,45.46
2013-12-31,32.26,$2.99,10.8
2013-09-30,26.8,$4.02,6.67
2013-06-30,27.62,$4.51,6.13
2013-03-31,32.93,$3.89,8.47
