Ondas Holdings Price to Free Cash Flow Ratio Historical Data,Ondas Holdings Price to Free Cash Flow Ratio Historical Data,Ondas Holdings Price to Free Cash Flow Ratio Historical Data,Ondas Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2024-12-31,2.56,$-0.50,0.0
2024-09-30,0.77,$-0.51,0.0
2024-06-30,0.58,$-0.50,0.0
2024-03-31,0.97,$-0.51,0.0
2023-12-31,1.53,$-0.65,0.0
2023-09-30,0.61,$-0.79,0.0
2023-06-30,0.86,$-0.97,0.0
2023-03-31,1.08,$-1.03,0.0
2022-12-31,1.59,$-0.97,0.0
2022-09-30,3.7,$-0.92,0.0
2022-06-30,5.39,$-0.70,0.0
2022-03-31,7.3,$-0.62,0.0
2021-12-31,6.71,$-0.52,0.0
2021-09-30,9.16,$-0.42,0.0
2021-06-30,7.94,$-0.48,0.0
2021-03-31,9.69,$-0.49,0.0
