Check-Cap Price to Free Cash Flow Ratio Historical Data,Check-Cap Price to Free Cash Flow Ratio Historical Data,Check-Cap Price to Free Cash Flow Ratio Historical Data,Check-Cap Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.89,,0.0
2023-12-31,2.08,$-2.91,0.0
2023-09-30,4.26,$-3.13,0.0
2023-06-30,2.86,$-3.25,0.0
2023-03-31,1.43,$-3.20,0.0
2022-12-31,2.2,$-3.38,0.0
2022-09-30,5.8,$-6.58,0.0
2022-06-30,6.18,$-3.70,0.0
2022-03-31,7.76,$-4.16,0.0
2021-12-31,13.49,$-4.15,0.0
2021-09-30,17.53,$-4.25,0.0
2021-06-30,25.6,$-5.60,0.0
2021-03-31,35.2,$-2.87,0.0
2020-12-31,9.2,$-8.89,0.0
2020-09-30,7.21,$-13.99,0.0
2020-06-30,11.93,$-22.62,0.0
2020-03-31,23.4,$-29.03,0.0
2019-12-31,34.4,$-32.58,0.0
2019-09-30,37.6,$-46.14,0.0
2019-06-30,42.4,$-40.02,0.0
2019-03-31,54.0,$-32.91,0.0
2018-12-31,43.0,$-50.31,0.0
2018-09-30,80.0,$-72.42,0.0
2018-06-30,81.0,$-81.96,0.0
2018-03-31,124.3,$-121.63,0.0
2017-12-31,208.75,$-128.95,0.0
2017-09-30,438.82,$-110.57,0.0
2017-06-30,463.2,$-113.68,0.0
2017-03-31,513.6,$-119.12,0.0
2016-12-31,564.0,$-129.10,0.0
2016-09-30,475.2,$-145.42,0.0
2016-06-30,333.6,$-176.94,0.0
2016-03-31,660.02,$-126.01,0.0
2015-12-31,453.6,$-161.20,0.0
