Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,158.48,,8.43
2024-12-31,163.83,$18.79,8.72
2024-09-30,171.55,$18.01,9.52
2024-06-30,196.86,$24.53,8.03
2024-03-31,192.96,$24.16,7.99
2023-12-31,148.45,$25.70,5.78
2023-09-30,145.12,$26.47,5.48
2023-06-30,122.39,$26.32,4.65
2023-03-31,125.15,$27.59,4.54
2022-12-31,124.1,$26.70,4.65
2022-09-30,107.76,$29.01,3.71
2022-06-30,105.85,$24.98,4.24
2022-03-31,116.93,$23.45,4.99
2021-12-31,91.58,$18.55,4.94
2021-09-30,80.04,$21.28,3.76
2021-06-30,78.93,$18.41,4.29
2021-03-31,61.47,$11.18,5.5
2020-12-31,40.27,$11.67,3.45
2020-09-30,24.78,$17.71,1.4
2020-06-30,34.12,$17.78,1.92
2020-03-31,21.17,$18.97,1.12
2019-12-31,74.58,$17.06,4.37
2019-09-30,72.03,$-0.50,0.0
2019-06-30,87.13,$-2.24,0.0
2019-03-31,81.03,$-1.92,0.0
2018-12-31,73.9,$-0.19,0.0
2018-09-30,107.65,$0.24,455.19
2018-06-30,104.66,$0.05,2212.71
2018-03-31,100.55,$0.40,251.31
2017-12-31,100.34,$0.22,466.68
2017-09-30,77.85,$-0.01,0.0
2017-06-30,70.58,$0.27,266.24
2017-03-31,82.43,$-0.29,0.0
2016-12-31,80.32,$-0.50,0.0
2016-09-30,76.72,$-0.43,0.0
2016-06-30,72.49,$0.39,188.18
2016-03-31,61.34,$0.78,79.03
2015-12-31,53.17,$0.09,607.64
2015-09-30,51.34,$-1.44,0.0
2015-06-30,59.91,$-3.21,0.0
2015-03-31,61.07,$-4.10,0.0
2014-12-31,47.51,$-3.52,0.0
2014-09-30,59.43,$-2.78,0.0
2014-06-30,70.57,$-2.81,0.0
2014-03-31,53.49,$-2.70,0.0
2013-12-31,42.03,$-3.41,0.0
2013-09-30,33.89,$-2.53,0.0
