Xtant Medical Holdings Price to Free Cash Flow Ratio Historical Data,Xtant Medical Holdings Price to Free Cash Flow Ratio Historical Data,Xtant Medical Holdings Price to Free Cash Flow Ratio Historical Data,Xtant Medical Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.48,,0.0
2024-12-31,0.44,$-0.12,0.0
2024-09-30,0.68,$-0.13,0.0
2024-06-30,0.63,$-0.13,0.0
2024-03-31,1.17,$-0.11,0.0
2023-12-31,1.13,$-0.09,0.0
2023-09-30,1.1,$-0.10,0.0
2023-06-30,0.93,$-0.11,0.0
2023-03-31,0.64,$-0.08,0.0
2022-12-31,0.66,$-0.07,0.0
2022-09-30,0.72,$-0.05,0.0
2022-06-30,0.52,$-0.04,0.0
2022-03-31,0.68,$-0.01,0.0
2021-12-31,0.56,$-0.02,0.0
2021-09-30,1.11,$0.09,11.83
2021-06-30,1.63,$0.09,17.99
2021-03-31,2.36,$0.06,42.37
2020-12-31,1.2,$-0.07,0.0
2020-09-30,0.82,$-0.21,0.0
2020-06-30,0.9,$-0.30,0.0
2020-03-31,0.67,$-0.25,0.0
2019-12-31,1.6,$-0.07,0.0
2019-09-30,2.84,$0.10,29.22
2019-06-30,3.0,$0.14,21.98
2019-03-31,3.05,$0.09,34.35
2018-12-31,1.61,$0.07,22.36
2018-09-30,3.85,$0.26,14.97
2018-06-30,5.55,$-0.21,0.0
2018-03-31,7.89,$-1.50,0.0
2017-12-31,6.87,$-1.43,0.0
2017-09-30,8.65,$-4.41,0.0
2017-06-30,7.92,$-19.36,0.0
2017-03-31,7.47,$-18.92,0.0
2016-12-31,6.6,$-19.15,0.0
2016-09-30,13.56,$-29.34,0.0
