NVE Price to Free Cash Flow Ratio Historical Data,NVE Price to Free Cash Flow Ratio Historical Data,NVE Price to Free Cash Flow Ratio Historical Data,NVE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,65.4,,22.95
2024-12-31,81.43,$2.85,28.58
2024-09-30,78.81,$3.04,25.9
2024-06-30,72.83,$3.75,19.42
2024-03-31,86.78,$3.77,23.04
2023-12-31,74.51,$4.01,18.56
2023-09-30,76.91,$3.97,19.38
2023-06-30,90.1,$4.11,21.92
2023-03-31,75.87,$3.76,20.19
2022-12-31,58.37,$3.48,16.77
2022-09-30,41.39,$3.10,13.37
2022-06-30,40.62,$2.49,16.29
2022-03-31,46.48,$2.49,18.7
2021-12-31,57.32,$2.86,20.05
2021-09-30,52.91,$2.93,18.08
2021-06-30,60.44,$2.77,21.8
2021-03-31,56.43,$2.75,20.51
2020-12-31,44.53,$2.45,18.17
2020-09-30,38.07,$2.89,13.19
2020-06-30,47.1,$2.99,15.74
2020-03-31,38.92,$3.27,11.91
2019-12-31,52.7,$3.10,16.97
2019-09-30,48.18,$2.75,17.53
2019-06-30,49.84,$2.90,17.2
2019-03-31,69.2,$2.92,23.72
2018-12-31,61.25,$3.18,19.23
2018-09-30,74.08,$3.30,22.47
2018-06-30,84.41,$2.96,28.55
2018-03-31,57.04,$3.00,19.0
2017-12-31,58.34,$2.43,24.01
2017-09-30,52.94,$2.71,19.51
2017-06-30,50.96,$2.58,19.74
2017-03-31,54.11,$2.45,22.07
2016-12-31,46.1,$2.70,17.05
2016-09-30,37.37,$2.45,15.29
2016-06-30,36.55,$2.70,13.56
2016-03-31,34.62,$2.89,11.98
2015-12-31,33.69,$3.23,10.43
2015-09-30,28.62,$3.17,9.04
2015-06-30,45.45,$3.16,14.39
2015-03-31,39.4,$3.01,13.07
2014-12-31,39.26,$2.70,14.53
2014-09-30,35.79,$2.72,13.18
2014-06-30,30.83,$2.69,11.46
2014-03-31,31.63,$2.51,12.58
2013-12-31,32.32,$2.84,11.38
2013-09-30,28.31,$2.35,12.06
2013-06-30,25.97,$2.22,11.71
2013-03-31,31.29,$2.22,14.06
2012-12-31,30.77,$2.13,14.44
2012-09-30,32.83,$2.19,14.96
2012-06-30,29.81,$2.08,14.32
2012-03-31,29.39,$2.33,12.62
2011-12-31,30.8,$2.35,13.08
2011-09-30,33.64,$2.60,12.92
2011-06-30,32.42,$2.39,13.58
2011-03-31,31.25,$2.49,12.53
2010-12-31,32.07,$2.41,13.3
2010-09-30,23.86,$2.37,10.09
2010-06-30,24.14,$2.68,9.01
2010-03-31,25.12,$2.56,9.83
2009-12-31,22.89,$3.89,5.89
