Gencor Industries Price to Free Cash Flow Ratio Historical Data,Gencor Industries Price to Free Cash Flow Ratio Historical Data,Gencor Industries Price to Free Cash Flow Ratio Historical Data,Gencor Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.55,,8.8
2024-06-30,19.34,$1.54,12.56
2024-03-31,16.69,$0.80,20.82
2023-12-31,16.14,$0.86,18.8
2023-09-30,14.13,$0.51,27.8
2023-06-30,15.58,$-0.91,0.0
2023-03-31,15.37,$-0.28,0.0
2022-12-31,10.1,$-1.04,0.0
2022-09-30,9.01,$-0.93,0.0
2022-06-30,10.16,$-0.56,0.0
2022-03-31,10.28,$-0.48,0.0
2021-12-31,11.53,$-0.25,0.0
2021-09-30,11.09,$0.08,140.74
2021-06-30,12.16,$1.54,7.89
2021-03-31,13.41,$1.64,8.16
2020-12-31,12.3,$1.62,7.57
2020-09-30,11.03,$1.71,6.45
2020-06-30,12.64,$0.80,15.77
2020-03-31,10.5,$0.48,22.09
2019-12-31,11.67,$0.67,17.44
2019-09-30,11.61,$0.14,82.93
2019-06-30,13.0,$-1.27,0.0
2019-03-31,12.36,$-0.79,0.0
2018-12-31,10.97,$-1.42,0.0
2018-09-30,12.05,$-1.06,0.0
2018-06-30,16.15,$-0.05,0.0
2018-03-31,16.1,$-0.32,0.0
2017-12-31,16.55,$0.26,63.9
2017-09-30,17.65,$0.31,57.7
2017-06-30,16.2,$0.96,16.93
2017-03-31,14.95,$0.65,22.96
2016-12-31,15.7,$0.68,23.25
2016-09-30,11.98,$0.46,26.02
2016-06-30,10.35,$-0.01,0.0
2016-03-31,9.75,$0.48,20.38
2015-12-31,7.53,$0.32,23.38
2015-09-30,6.03,$0.27,22.51
2015-06-30,6.45,$0.07,96.08
2015-03-31,6.67,$0.30,22.08
2014-12-31,6.27,$0.04,145.74
2014-09-30,6.55,$-0.17,0.0
2014-06-30,7.34,$0.09,84.27
2014-03-31,6.89,$-0.05,0.0
2013-12-31,6.36,$0.05,124.46
2013-09-30,5.72,$0.43,13.18
2013-06-30,4.74,$-0.16,0.0
2013-03-31,4.77,$-0.50,0.0
2012-12-31,5.03,$0.00,0.0
2012-09-30,4.93,$0.12,42.79
2012-06-30,5.03,$0.58,8.62
2012-03-31,4.67,$0.52,8.9
2011-12-31,4.63,$0.17,27.26
2011-09-30,4.83,$-0.09,0.0
2011-06-30,5.11,$-0.00,0.0
2011-03-31,5.21,$-0.36,0.0
2010-12-31,4.83,$-0.28,0.0
2010-09-30,4.76,$-0.06,0.0
2010-06-30,5.05,$-0.11,0.0
2010-03-31,4.95,$0.22,22.72
2009-12-31,4.98,$0.16,30.87
