Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data,Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data,Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data,Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.04,,12.07
2024-12-31,17.2,$1.74,9.87
2024-09-30,17.63,$1.61,10.98
2024-06-30,18.31,$2.05,8.92
2024-03-31,19.38,$2.16,8.97
2023-12-31,16.58,$2.56,6.47
2023-09-30,14.71,$2.87,5.13
2023-06-30,13.27,$2.73,4.86
2023-03-31,13.45,$2.94,4.58
2022-12-31,13.06,$3.13,4.17
2022-09-30,12.69,$2.83,4.48
2022-06-30,12.62,$2.86,4.42
2022-03-31,13.06,$2.95,4.43
2021-12-31,11.63,$2.83,4.11
2021-09-30,11.94,$3.18,3.76
2021-06-30,11.69,$3.14,3.73
2021-03-31,11.07,$3.15,3.52
2020-12-31,10.9,$2.83,3.85
2020-09-30,11.72,$2.90,4.05
2020-06-30,10.06,$3.14,3.21
2020-03-31,9.54,$2.92,3.27
2019-12-31,14.35,$3.20,4.49
2019-09-30,15.14,$3.17,4.78
2019-06-30,15.17,$3.11,4.88
2019-03-31,13.63,$3.27,4.17
2018-12-31,11.42,$3.06,3.73
2018-09-30,13.58,$2.97,4.58
2018-06-30,13.2,$2.78,4.75
2018-03-31,12.05,$2.33,5.18
2017-12-31,12.95,$1.91,6.76
2017-09-30,13.62,$2.29,5.95
2017-06-30,11.99,$2.11,5.67
2017-03-31,13.13,$2.15,6.11
2016-12-31,14.24,$2.36,6.03
2016-09-30,15.35,$2.04,7.51
2016-06-30,15.01,$2.61,5.74
2016-03-31,13.05,$3.42,3.81
2015-12-31,10.26,$4.36,2.35
2015-09-30,13.52,$4.84,2.79
2015-06-30,16.03,$5.13,3.13
2015-03-31,16.93,$5.62,3.01
2014-12-31,16.7,$3.89,4.29
2014-09-30,16.87,$3.44,4.9
2014-06-30,17.08,$2.36,7.25
2014-03-31,15.12,$1.33,11.37
2013-12-31,16.74,$2.32,7.23
2013-09-30,16.4,$3.31,4.96
2013-06-30,15.97,$3.87,4.13
2013-03-31,15.03,$4.34,3.46
2012-12-31,12.85,$4.28,3.0
2012-09-30,13.39,$2.44,5.5
2012-06-30,13.1,$2.22,5.91
2012-03-31,13.38,$2.31,5.79
2011-12-31,14.54,$2.67,5.45
2011-09-30,13.92,$3.26,4.27
2011-06-30,15.39,$3.31,4.64
2011-03-31,16.37,$3.74,4.37
2010-12-31,16.03,$4.21,3.81
2010-09-30,15.31,$3.94,3.89
2010-06-30,12.95,$3.78,3.43
2010-03-31,12.91,$3.68,3.51
2009-12-31,12.57,$6.38,1.97
