Wag! Group Price to Free Cash Flow Ratio Historical Data,Wag! Group Price to Free Cash Flow Ratio Historical Data,Wag! Group Price to Free Cash Flow Ratio Historical Data,Wag! Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.24,,0.0
2024-09-30,0.86,$-0.20,0.0
2024-06-30,1.6,$-0.19,0.0
2024-03-31,1.98,$-0.08,0.0
2023-12-31,1.75,$-0.18,0.0
2023-09-30,1.95,$-0.13,0.0
2023-06-30,2.1,$-0.22,0.0
