AirMedia Group Inc Price to Free Cash Flow Ratio Historical Data,AirMedia Group Inc Price to Free Cash Flow Ratio Historical Data,AirMedia Group Inc Price to Free Cash Flow Ratio Historical Data,AirMedia Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.49,,inf
2023-12-31,0.83,0,0.0
2023-06-30,1.22,0,0.0
2022-12-31,1.1,0,0.0
2022-06-30,6.0,0,0.0
2021-12-31,6.08,0,0.0
2021-06-30,11.6,0,0.0
2020-12-31,8.76,0,0.0
2019-12-31,3.98,0,0.0
2019-06-30,6.84,$25.78,0.27
2018-12-31,5.02,0,0.0
2017-12-31,23.0,0,0.0
2016-12-31,49.1,0,0.0
2015-12-31,111.8,$-25.78,0.0
2015-09-30,107.4,$-4.74,0.0
2015-06-30,97.2,$-4.74,0.0
2015-03-31,39.6,$-4.74,0.0
2014-12-31,51.2,$-4.74,0.0
2014-09-30,34.8,$-4.19,0.0
2014-06-30,45.6,$-4.19,0.0
2014-03-31,47.6,$-4.19,0.0
2013-12-31,40.6,$-4.19,0.0
2013-09-30,35.2,$3.61,9.74
2013-06-30,36.8,$3.61,10.19
2013-03-31,35.8,$3.61,9.91
2012-12-31,38.4,$3.61,10.63
2012-09-30,37.8,$4.36,8.67
2012-06-30,47.6,$4.36,10.92
2012-03-31,61.6,$4.36,14.13
2011-12-31,72.6,$4.36,16.65
2011-09-30,49.8,$0.58,85.98
2011-06-30,64.0,$0.58,110.5
2011-03-31,104.2,$0.58,179.9
2010-12-31,137.8,$0.58,237.91
2010-09-30,118.4,$-6.06,0.0
2010-06-30,62.8,$-6.06,0.0
2010-03-31,125.0,$-6.06,0.0
2009-12-31,150.2,$-6.06,0.0
