Stratus Properties Price to Free Cash Flow Ratio Historical Data,Stratus Properties Price to Free Cash Flow Ratio Historical Data,Stratus Properties Price to Free Cash Flow Ratio Historical Data,Stratus Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.21,,0.0
2024-09-30,25.99,$-4.80,0.0
2024-06-30,25.22,$-8.08,0.0
2024-03-31,22.83,$-8.80,0.0
2023-12-31,28.86,$-12.16,0.0
2023-09-30,27.4,$-12.15,0.0
2023-06-30,26.25,$-11.17,0.0
2023-03-31,20.0,$-13.00,0.0
2022-12-31,19.29,$-13.38,0.0
2022-09-30,23.3,$3.80,6.13
2022-06-30,32.23,$2.84,11.33
2022-03-31,43.08,$6.71,6.42
2021-12-31,36.57,$16.45,2.22
2021-09-30,32.35,$1.34,24.21
2021-06-30,24.67,$3.74,6.6
2021-03-31,30.5,$5.39,5.66
2020-12-31,25.5,$-1.25,0.0
2020-09-30,21.56,$-7.20,0.0
