Similarweb Price to Free Cash Flow Ratio Historical Data,Similarweb Price to Free Cash Flow Ratio Historical Data,Similarweb Price to Free Cash Flow Ratio Historical Data,Similarweb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.15,,26.95
2024-12-31,14.17,$0.34,41.74
2024-09-30,8.84,$0.35,25.3
2024-06-30,7.77,$0.18,42.95
2024-03-31,9.0,$0.07,131.2
2023-12-31,5.33,$-0.07,0.0
2023-09-30,6.48,$-0.27,0.0
2023-06-30,6.56,$-0.60,0.0
2023-03-31,6.76,$-0.94,0.0
2022-12-31,6.43,$-0.98,0.0
2022-09-30,5.86,$-1.14,0.0
2022-06-30,8.25,$-0.97,0.0
2022-03-31,12.95,$-0.63,0.0
