Silence Therapeutics Price to Free Cash Flow Ratio Historical Data,Silence Therapeutics Price to Free Cash Flow Ratio Historical Data,Silence Therapeutics Price to Free Cash Flow Ratio Historical Data,Silence Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.7,,0.0
2024-12-31,6.88,$-1.47,0.0
2024-09-30,18.18,$-1.29,0.0
2024-06-30,19.0,$-0.89,0.0
2024-03-31,21.6,$-1.29,0.0
2023-12-31,17.37,$-1.34,0.0
2023-09-30,9.82,$-1.53,0.0
2023-06-30,5.5,$-1.58,0.0
2023-03-31,6.2,$-1.36,0.0
2022-12-31,15.25,$-1.75,0.0
2022-09-30,10.04,$-0.80,0.0
2022-06-30,11.85,$-0.60,0.0
