IceCure Medical Price to Free Cash Flow Ratio Historical Data,IceCure Medical Price to Free Cash Flow Ratio Historical Data,IceCure Medical Price to Free Cash Flow Ratio Historical Data,IceCure Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,0.0
2024-03-31,1.2,$-0.15,0.0
2023-12-31,1.07,$0.14,7.64
2023-03-31,1.15,$-0.16,0.0
