Enlivex Therapeutics Price to Free Cash Flow Ratio Historical Data,Enlivex Therapeutics Price to Free Cash Flow Ratio Historical Data,Enlivex Therapeutics Price to Free Cash Flow Ratio Historical Data,Enlivex Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.09,,0.0
2024-09-30,1.68,$-0.70,0.0
2024-06-30,1.42,$-0.89,0.0
2024-03-31,3.79,$-1.18,0.0
2023-12-31,2.7,$-1.27,0.0
2023-09-30,1.58,$-1.39,0.0
2023-06-30,2.63,$-1.52,0.0
2023-03-31,3.64,$-1.84,0.0
2022-12-31,3.94,$-1.74,0.0
2022-09-30,4.25,$-1.78,0.0
2022-06-30,4.52,$-1.60,0.0
2022-03-31,5.59,$-1.15,0.0
2021-12-31,6.25,$-1.07,0.0
2021-09-30,9.88,$-1.11,0.0
2021-06-30,8.9,$-1.08,0.0
2021-03-31,11.09,$-1.13,0.0
2020-12-31,8.43,$-0.91,0.0
2020-09-30,5.94,$-0.72,0.0
2020-06-30,5.06,$-0.72,0.0
2020-03-31,4.68,$-0.47,0.0
2019-12-31,8.39,$-0.84,0.0
2019-09-30,26.71,$-0.92,0.0
2019-06-30,21.5,$-1.09,0.0
2019-03-31,12.4,$-1.33,0.0
2018-12-31,6.19,$-1.56,0.0
2018-09-30,10.8,$10.08,1.07
2018-03-31,15.84,$5.76,2.75
2017-12-31,18.29,$-0.71,0.0
2017-09-30,17.32,$-8.53,0.0
2017-06-30,26.8,$-26.77,0.0
2017-03-31,30.4,$-34.73,0.0
2016-12-31,41.6,$-38.91,0.0
2016-09-30,69.2,$-40.85,0.0
2016-06-30,64.0,$-42.79,0.0
2016-03-31,99.6,$-38.27,0.0
2015-12-31,154.8,$-37.38,0.0
2015-09-30,203.6,$-32.45,0.0
2015-06-30,275.6,$-32.75,0.0
