Inter Price to Free Cash Flow Ratio Historical Data,Inter Price to Free Cash Flow Ratio Historical Data,Inter Price to Free Cash Flow Ratio Historical Data,Inter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.86,,4.51
2024-09-30,6.66,$1.30,5.12
2024-06-30,6.15,$1.47,4.18
2024-03-31,5.71,$2.86,2.0
2023-12-31,5.56,$3.75,1.48
2023-09-30,4.0,$2.89,1.38
2023-06-30,3.13,$1.73,1.81
2023-03-31,1.7,$1.35,1.26
