Fidelity D&D Bancorp Price to Free Cash Flow Ratio Historical Data,Fidelity D&D Bancorp Price to Free Cash Flow Ratio Historical Data,Fidelity D&D Bancorp Price to Free Cash Flow Ratio Historical Data,Fidelity D&D Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.11,,10.12
2024-12-31,48.8,$4.36,11.19
2024-09-30,48.98,$4.53,10.82
2024-06-30,43.13,$3.93,10.99
2024-03-31,47.31,$3.71,12.75
2023-12-31,56.27,$4.13,13.64
2023-09-30,43.71,$4.23,10.33
2023-06-30,46.43,$5.69,8.16
2023-03-31,43.24,$5.70,7.58
2022-12-31,44.33,$7.93,5.59
2022-09-30,37.66,$5.75,6.55
2022-06-30,37.68,$-2.25,0.0
2022-03-31,42.59,$-0.38,0.0
2021-12-31,53.76,$1.35,39.86
2021-09-30,45.67,$0.73,62.51
2021-06-30,48.72,$8.67,5.62
2021-03-31,55.1,$3.81,14.48
2020-12-31,57.33,$0.01,0.0
2020-09-30,43.17,$2.38,18.14
2020-06-30,42.36,$2.24,18.94
2020-03-31,44.58,$5.19,8.59
2019-12-31,54.1,$6.01,9.0
2019-09-30,53.91,$5.67,9.5
2019-06-30,57.95,$4.12,14.07
2019-03-31,50.76,$4.28,11.86
2018-12-31,54.86,$3.04,18.03
2018-09-30,58.69,$6.12,9.58
