Verisk Analytics Price to Free Cash Flow Ratio Historical Data,Verisk Analytics Price to Free Cash Flow Ratio Historical Data,Verisk Analytics Price to Free Cash Flow Ratio Historical Data,Verisk Analytics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,287.68,,44.35
2024-12-31,275.43,$6.49,42.46
2024-09-30,267.59,$6.11,43.8
2024-06-30,268.79,$5.71,47.11
2024-03-31,234.72,$6.58,35.67
2023-12-31,237.44,$26.45,8.98
2023-09-30,234.49,$26.40,8.88
2023-06-30,224.05,$26.52,8.45
2023-03-31,189.89,$28.10,6.76
2022-12-31,174.28,$11.69,14.91
2022-09-30,168.18,$11.30,14.88
2022-06-30,170.42,$11.26,15.14
2022-03-31,210.9,$8.72,24.18
2021-12-31,224.38,$5.43,41.31
2021-09-30,196.21,$5.89,33.29
2021-06-30,170.94,$5.36,31.89
2021-03-31,172.58,$5.47,31.56
2020-12-31,202.42,$5.11,39.63
2020-09-30,180.44,$4.71,38.31
2020-06-30,165.49,$4.78,34.64
2020-03-31,135.3,$4.52,29.92
2019-12-31,144.68,$4.44,32.59
2019-09-30,152.95,$4.33,35.29
2019-06-30,141.43,$4.45,31.81
2019-03-31,128.21,$4.43,28.96
2018-12-31,104.91,$4.18,25.1
2018-09-30,115.98,$4.08,28.44
2018-06-30,103.56,$3.78,27.43
2018-03-31,100.06,$3.31,30.2
2017-12-31,92.36,$3.32,27.82
2017-09-30,80.04,$3.06,26.14
2017-06-30,81.17,$2.70,30.1
2017-03-31,78.07,$2.55,30.58
2016-12-31,78.09,$2.46,31.75
2016-09-30,78.2,$2.72,28.71
2016-06-30,78.01,$3.01,25.94
2016-03-31,76.89,$2.95,26.05
2015-12-31,73.97,$2.88,25.65
2015-09-30,71.11,$2.81,25.34
2015-06-30,70.0,$2.54,27.53
2015-03-31,68.69,$2.40,28.67
2014-12-31,61.62,$2.03,30.42
2014-09-30,58.58,$2.10,27.85
2014-06-30,57.75,$2.28,25.35
2014-03-31,57.69,$2.30,25.03
2013-12-31,63.23,$2.10,30.18
2013-09-30,62.5,$2.37,26.41
2013-06-30,57.44,$2.48,23.18
2013-03-31,59.29,$2.23,26.54
2012-12-31,49.04,$2.29,21.38
2012-09-30,45.81,$1.72,26.61
2012-06-30,47.39,$1.79,26.47
2012-03-31,45.19,$2.08,21.71
2011-12-31,38.61,$1.82,21.18
2011-09-30,33.45,$2.07,16.17
2011-06-30,33.31,$1.67,19.89
2011-03-31,31.52,$1.66,19.03
2010-12-31,32.79,$1.60,20.55
2010-09-30,26.95,$2.75,9.79
