AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,211.5,,25.75
2024-12-31,219.97,$8.21,26.78
2024-09-30,225.25,$6.59,34.17
2024-06-30,205.34,$5.98,34.33
2024-03-31,182.67,$6.78,26.95
2023-12-31,182.61,$6.55,27.87
2023-09-30,166.07,$9.54,17.4
2023-06-30,181.27,$10.96,16.54
2023-03-31,159.56,$9.01,17.7
2022-12-31,151.82,$9.84,15.43
2022-09-30,171.45,$5.60,30.6
2022-06-30,179.24,$1.82,98.6
2022-03-31,227.33,$4.81,47.3
2021-12-31,229.74,$4.28,53.66
2021-09-30,198.9,$6.31,31.5
2021-06-30,187.28,$8.48,22.09
2021-03-31,164.34,$6.57,25.02
2020-12-31,141.69,$6.11,23.18
2020-09-30,130.58,$2.51,52.01
2020-06-30,133.77,$2.86,46.76
2020-03-31,126.0,$1.44,87.25
2019-12-31,177.68,$0.93,190.13
2019-09-30,181.13,$3.19,56.75
2019-06-30,169.7,$2.74,62.04
2019-03-31,166.4,$4.80,34.68
2018-12-31,143.2,$4.48,32.0
2018-09-30,147.78,$3.09,47.81
2018-06-30,139.08,$1.47,94.84
2018-03-31,131.93,$0.37,359.4
2017-12-31,141.85,$1.76,80.59
2017-09-30,140.74,$2.35,59.99
2017-06-30,150.39,$3.36,44.8
2017-03-31,142.64,$2.33,61.15
2016-12-31,136.57,$0.19,727.58
2016-09-30,136.04,$-0.22,0.0
2016-06-30,136.98,$-0.66,0.0
2016-03-31,143.34,$-0.97,0.0
2015-12-31,137.78,$-1.99,0.0
2015-09-30,129.94,$-2.76,0.0
2015-06-30,117.95,$-3.55,0.0
2015-03-31,127.57,$-2.86,0.0
2014-12-31,118.77,$-1.20,0.0
2014-09-30,101.77,$1.44,70.54
2014-06-30,101.81,$1.17,86.9
2014-03-31,93.26,$0.58,161.38
2013-12-31,83.22,$-3.99,0.0
2013-09-30,88.66,$-8.69,0.0
2013-06-30,93.34,$-9.24,0.0
2013-03-31,86.95,$-8.08,0.0
2012-12-31,92.3,$-4.05,0.0
2012-09-30,91.92,$0.58,157.15
2012-06-30,94.95,$1.36,69.83
2012-03-31,94.19,$-0.14,0.0
2011-12-31,86.42,$0.03,3273.45
2011-09-30,74.95,$-1.90,0.0
2011-06-30,83.75,$-1.62,0.0
2011-03-31,77.77,$0.07,1053.85
2010-12-31,72.35,$0.93,77.44
2010-09-30,66.29,$2.21,30.03
2010-06-30,59.04,$2.90,20.39
2010-03-31,54.11,$1.02,52.99
2009-12-31,50.93,$-0.08,0.0
