Bullfrog AI Holdings Price to Free Cash Flow Ratio Historical Data,Bullfrog AI Holdings Price to Free Cash Flow Ratio Historical Data,Bullfrog AI Holdings Price to Free Cash Flow Ratio Historical Data,Bullfrog AI Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.8,,0.0
2024-12-31,2.0,$-0.68,0.0
2024-09-30,2.87,$-0.71,0.0
2024-06-30,1.73,$-0.78,0.0
2024-03-31,3.21,$-0.76,0.0
2023-12-31,3.26,$-0.99,0.0
