Molecular Partners AG Price to Free Cash Flow Ratio Historical Data,Molecular Partners AG Price to Free Cash Flow Ratio Historical Data,Molecular Partners AG Price to Free Cash Flow Ratio Historical Data,Molecular Partners AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.25,,0.0
2024-12-31,4.75,$-2.00,0.0
2024-09-30,5.09,$-2.16,0.0
2024-06-30,7.23,$-2.12,0.0
2024-03-31,4.2,$-2.07,0.0
2023-12-31,4.18,$-2.03,0.0
2023-09-30,4.14,$-2.70,0.0
2023-06-30,6.22,$3.10,2.0
2023-03-31,6.04,$1.14,5.29
