Macy's Price to Free Cash Flow Ratio Historical Data,Macy's Price to Free Cash Flow Ratio Historical Data,Macy's Price to Free Cash Flow Ratio Historical Data,Macy's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.37,,7.95
2024-10-31,15.18,$1.68,9.02
2024-07-31,16.9,$1.52,11.14
2024-04-30,17.86,$1.69,10.59
2024-01-31,17.58,$1.43,12.29
2023-10-31,11.61,$0.97,11.97
2023-07-31,15.59,$1.42,11.02
2023-04-30,15.2,$0.82,18.49
2023-01-31,21.78,$1.63,13.4
2022-10-31,19.08,$4.09,4.67
2022-07-31,16.0,$4.10,3.9
2022-04-30,21.75,$6.20,3.51
2022-01-31,22.89,$7.26,3.15
2021-10-31,23.53,$3.11,7.56
2021-07-31,15.0,$4.22,3.56
2021-04-30,14.63,$3.19,4.58
2021-01-31,13.27,$0.95,13.95
2020-10-31,5.48,$3.53,1.55
2020-07-31,5.35,$1.49,3.6
2020-04-30,5.17,$1.93,2.68
2020-01-31,13.39,$2.04,6.56
2019-10-31,12.43,$2.68,4.63
2019-07-31,18.23,$3.09,5.91
2019-04-30,18.56,$2.74,6.78
2019-01-31,20.41,$4.10,4.98
2018-10-31,26.29,$4.70,5.6
2018-07-31,30.14,$4.96,6.07
2018-04-30,23.34,$5.30,4.41
2018-01-31,19.24,$5.30,3.63
2017-10-31,13.7,$5.98,2.29
2017-07-31,17.06,$5.49,3.1
2017-04-30,20.63,$6.18,3.34
2017-01-31,20.61,$5.03,4.1
2016-10-31,25.22,$3.89,6.48
2016-07-31,24.5,$4.14,5.92
2016-04-30,26.75,$3.11,8.59
2016-01-31,27.09,$3.23,8.39
2015-10-31,33.84,$3.08,10.98
2015-07-31,45.56,$3.85,11.84
2015-04-30,42.41,$4.52,9.39
2015-01-31,41.71,$5.01,8.32
2014-10-31,37.56,$4.48,8.39
2014-07-31,37.35,$4.66,8.01
2014-04-30,36.92,$4.21,8.77
2014-01-31,34.05,$4.72,7.21
2013-10-31,29.37,$3.20,9.17
2013-07-31,30.62,$3.49,8.78
2013-04-30,28.11,$3.46,8.12
2013-01-31,24.78,$3.16,7.84
2012-10-31,23.76,$3.91,6.08
2012-07-31,22.25,$3.33,6.67
2012-04-30,25.32,$3.77,6.72
2012-01-31,20.69,$3.54,5.85
2011-10-31,18.69,$2.62,7.14
2011-07-31,17.6,$2.92,6.03
2011-04-30,14.53,$2.95,4.92
2011-01-31,14.04,$2.52,5.58
2010-10-31,14.32,$3.16,4.53
2010-07-31,11.26,$3.01,3.74
2010-04-30,13.97,$2.87,4.87
2010-01-31,9.57,$3.19,3.0
2009-10-31,10.52,$2.66,3.96
