Flexsteel Industries Price to Free Cash Flow Ratio Historical Data,Flexsteel Industries Price to Free Cash Flow Ratio Historical Data,Flexsteel Industries Price to Free Cash Flow Ratio Historical Data,Flexsteel Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.01,,6.95
2024-12-31,54.34,$5.61,9.69
2024-09-30,44.29,$6.61,6.7
2024-06-30,30.94,$5.67,5.46
2024-03-31,36.98,$2.09,17.66
2023-12-31,18.61,$1.88,9.87
2023-09-30,20.33,$0.83,24.62
2023-06-30,18.58,$3.44,5.4
2023-03-31,18.58,$6.70,2.77
2022-12-31,14.75,$11.22,1.32
2022-09-30,14.9,$9.13,1.63
2022-06-30,16.92,$0.93,18.1
2022-03-31,17.99,$-3.13,0.0
2021-12-31,24.87,$-9.23,0.0
2021-09-30,28.42,$-8.15,0.0
2021-06-30,37.0,$-2.23,0.0
2021-03-31,31.81,$0.67,47.78
2020-12-31,31.79,$2.99,10.64
2020-09-30,21.75,$2.24,9.7
2020-06-30,11.42,$4.41,2.59
2020-03-31,9.87,$3.10,3.19
2019-12-31,17.59,$1.34,13.13
2019-09-30,12.94,$0.17,76.73
2019-06-30,14.7,$-1.82,0.0
2019-03-31,19.73,$-0.55,0.0
2018-12-31,18.62,$0.37,50.06
2018-09-30,24.84,$0.11,220.18
2018-06-30,33.09,$0.51,65.52
2018-03-31,32.64,$0.13,242.3
2017-12-31,38.35,$0.40,96.85
2017-09-30,41.37,$1.33,31.0
2017-06-30,43.95,$1.87,23.45
2017-03-31,40.78,$4.65,8.78
2016-12-31,49.69,$6.41,7.75
2016-09-30,41.54,$6.10,6.81
2016-06-30,31.69,$6.06,5.23
2016-03-31,34.79,$2.36,14.75
2015-12-31,35.04,$0.68,51.37
2015-09-30,24.69,$-0.63,0.0
2015-06-30,33.84,$-4.41,0.0
2015-03-31,24.47,$-2.98,0.0
2014-12-31,25.07,$-3.01,0.0
2014-09-30,26.07,$-1.42,0.0
2014-06-30,25.65,$1.62,15.86
2014-03-31,28.81,$0.90,32.01
2013-12-31,23.44,$0.32,72.98
2013-09-30,18.94,$0.94,20.21
2013-06-30,18.38,$-0.04,0.0
2013-03-31,18.53,$-0.69,0.0
2012-12-31,15.97,$-0.57,0.0
2012-09-30,15.29,$-0.67,0.0
2012-06-30,14.5,$-0.28,0.0
2012-03-31,13.17,$1.39,9.48
2011-12-31,10.01,$1.60,6.27
2011-09-30,10.77,$1.72,6.26
2011-06-30,10.43,$1.65,6.33
2011-03-31,10.69,$0.73,14.6
2010-12-31,12.53,$0.08,149.21
2010-09-30,10.78,$1.73,6.24
2010-06-30,7.7,$2.67,2.88
2010-03-31,9.46,$3.31,2.86
2009-12-31,7.1,$5.10,1.39
