Syntec Optics Holdings Price to Free Cash Flow Ratio Historical Data,Syntec Optics Holdings Price to Free Cash Flow Ratio Historical Data,Syntec Optics Holdings Price to Free Cash Flow Ratio Historical Data,Syntec Optics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-09-30,1.23,$-0.03,0.0
2024-06-30,3.05,$-0.02,0.0
2024-03-31,3.8,$0.01,0.0
2023-12-31,5.03,$0.03,186.99
2023-09-30,10.6,$0.13,79.52
2023-06-30,10.42,$0.10,107.31
2023-03-31,10.2,$0.10,102.0
2022-12-31,10.0,$0.04,262.47
