Eledon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Eledon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Eledon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Eledon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.44,,0.0
2024-09-30,2.49,$-1.10,0.0
2024-06-30,2.64,$-1.24,0.0
2024-03-31,2.06,$-1.20,0.0
2023-12-31,1.8,$-1.61,0.0
2023-09-30,1.37,$-1.68,0.0
2023-06-30,1.37,$-1.74,0.0
2023-03-31,2.36,$-2.12,0.0
2022-12-31,2.28,$-1.99,0.0
2022-09-30,2.76,$-1.95,0.0
2022-06-30,2.44,$-2.11,0.0
2022-03-31,3.94,$-2.17,0.0
2021-12-31,4.41,$-1.95,0.0
2021-09-30,6.18,$-6.63,0.0
2021-06-30,7.91,$-5.80,0.0
2021-03-31,10.7,$-8.54,0.0
2020-12-31,15.4,$-10.48,0.0
2020-09-30,17.1,$-9.90,0.0
2020-06-30,8.25,$-12.97,0.0
2020-03-31,7.02,$-15.74,0.0
2019-12-31,10.44,$-21.12,0.0
2019-09-30,11.16,$-23.86,0.0
2019-06-30,18.18,$-26.73,0.0
2019-03-31,72.36,$-26.16,0.0
2018-12-31,28.8,$-23.75,0.0
2018-09-30,84.06,$-41.80,0.0
2018-06-30,126.0,$-29.58,0.0
2018-03-31,90.72,$-24.37,0.0
2017-12-31,73.08,$-57.41,0.0
2017-09-30,93.78,$548.07,0.17
2017-06-30,105.3,$231.15,0.46
2017-03-31,135.35,$-199.64,0.0
2016-12-31,158.42,$-231.14,0.0
2016-09-30,247.86,$-877.19,0.0
2016-06-30,892.62,$-640.79,0.0
2016-03-31,908.82,$-290.15,0.0
2015-12-31,1412.64,$-300.97,0.0
2015-09-30,1676.7,$244.60,6.85
2015-06-30,2154.6,$-690.19,0.0
