Southern First Bancshares Price to Free Cash Flow Ratio Historical Data,Southern First Bancshares Price to Free Cash Flow Ratio Historical Data,Southern First Bancshares Price to Free Cash Flow Ratio Historical Data,Southern First Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.67,,11.02
2024-12-31,39.75,$3.06,13.01
2024-09-30,34.08,$4.15,8.22
2024-06-30,29.24,$2.87,10.18
2024-03-31,31.76,$1.51,21.07
2023-12-31,37.1,$2.03,18.26
2023-09-30,26.94,$2.76,9.75
2023-06-30,24.75,$3.08,8.04
2023-03-31,30.7,$4.40,6.98
2022-12-31,45.75,$4.52,10.13
2022-09-30,41.66,$5.26,7.92
2022-06-30,43.59,$4.29,10.17
2022-03-31,50.84,$5.69,8.93
2021-12-31,62.49,$6.46,9.67
2021-09-30,53.5,$7.12,7.51
2021-06-30,51.16,$5.00,10.23
2021-03-31,46.88,$3.69,12.72
2020-12-31,35.35,$2.08,17.03
2020-09-30,24.15,$1.51,16.04
2020-06-30,27.71,$1.48,18.75
2020-03-31,28.37,$-0.96,0.0
2019-12-31,42.49,$1.27,33.44
2019-09-30,39.85,$-0.20,0.0
2019-06-30,39.16,$1.34,29.3
2019-03-31,33.87,$4.71,7.19
2018-12-31,32.07,$3.85,8.34
2018-09-30,39.3,$3.21,12.24
2018-06-30,44.2,$3.60,12.27
2018-03-31,44.5,$1.62,27.51
2017-12-31,41.25,$1.60,25.82
2017-09-30,36.35,$2.10,17.35
2017-06-30,37.05,$2.08,17.77
2017-03-31,32.65,$3.27,9.97
2016-12-31,36.0,$1.74,20.75
2016-09-30,27.58,$1.95,14.17
2016-06-30,24.1,$1.76,13.69
2016-03-31,24.41,$1.70,14.36
2015-12-31,22.7,$2.36,9.64
2015-09-30,20.49,$1.65,12.38
2015-06-30,17.9,$1.05,17.0
2015-03-31,17.0,$-0.05,0.0
2014-12-31,17.02,$0.48,35.27
2014-09-30,13.94,$0.46,30.12
2014-06-30,13.46,$0.84,16.1
2014-03-31,13.87,$1.21,11.43
2013-12-31,13.28,$1.41,9.42
2013-09-30,13.2,$1.73,7.61
2013-06-30,10.99,$-5.28,0.0
2013-03-31,10.45,$2.61,4.0
2012-12-31,8.45,$2.19,3.86
2012-09-30,8.15,$2.60,3.13
2012-06-30,7.73,$9.49,0.81
2012-03-31,6.23,$2.38,2.62
2011-12-31,5.91,$2.48,2.39
2011-09-30,5.7,$2.31,2.47
2011-06-30,7.02,$2.43,2.89
2011-03-31,6.6,$2.39,2.76
2010-12-31,5.6,$2.51,2.23
2010-09-30,4.97,$1.21,4.13
2010-06-30,5.44,$0.34,15.88
2010-03-31,6.09,$-0.04,0.0
2009-12-31,4.96,$-0.63,0.0
