Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.47,,14.06
2024-09-30,87.16,$6.44,13.54
2024-06-30,83.5,$6.44,12.98
2024-03-31,93.69,$6.44,14.56
2023-12-31,91.23,$6.44,14.18
2023-09-30,74.01,$4.66,15.9
2023-06-30,78.6,$4.66,16.88
2023-03-31,74.47,$4.66,16.0
2022-12-31,62.82,$4.66,13.5
2022-09-30,52.87,$5.48,9.64
2022-06-30,50.06,$5.48,9.13
2022-03-31,48.57,$5.48,8.86
2021-12-31,48.43,$5.48,8.83
2021-09-30,48.63,$6.17,7.88
2021-06-30,45.74,$3.09,14.79
2021-03-31,38.9,$6.17,6.31
2020-12-31,38.81,$6.17,6.29
2020-09-30,33.21,$0.79,42.2
2020-06-30,35.76,$8.45,4.23
2020-03-31,32.0,$5.37,5.95
2019-12-31,48.21,$5.37,8.97
2019-09-30,47.42,$9.44,5.02
2019-06-30,48.61,$4.86,10.01
2019-03-31,51.63,$4.86,10.63
2018-12-31,47.59,$4.86,9.8
2018-09-30,47.22,$5.47,8.63
2018-06-30,43.51,$5.47,7.95
2018-03-31,50.53,$5.47,9.24
2017-12-31,52.96,$5.47,9.68
2017-09-30,57.92,$5.25,11.03
2017-06-30,63.58,$5.25,12.1
2017-03-31,53.2,$5.25,10.13
2016-12-31,47.14,$5.25,8.97
2016-09-30,55.03,$3.61,15.24
2016-06-30,60.88,$3.61,16.85
2016-03-31,60.29,$3.61,16.69
2015-12-31,51.41,$3.61,14.23
2015-09-30,49.77,$7.98,6.23
2015-06-30,56.99,$7.98,7.14
2015-03-31,56.57,$7.98,7.09
2014-12-31,61.28,$7.98,7.68
2014-09-30,70.63,$4.30,16.43
2014-06-30,79.68,$4.30,18.54
2014-03-31,73.24,$4.30,17.04
2013-12-31,84.52,$4.30,19.66
2013-09-30,86.67,$8.98,9.65
2013-06-30,96.52,$5.41,17.84
2013-03-31,111.85,$6.86,16.31
2012-12-31,101.79,$8.98,11.33
2012-09-30,88.1,$3.12,28.28
2012-06-30,89.39,$6.69,13.37
2012-03-31,71.07,$5.24,13.56
2011-12-31,63.89,$3.12,20.51
2011-09-30,59.54,$6.28,9.49
2011-06-30,62.41,$3.34,18.68
2011-03-31,50.38,$6.28,8.03
2010-12-31,53.94,$6.28,8.59
2010-09-30,51.19,$0.68,75.13
2010-06-30,40.96,$4.53,9.05
2010-03-31,42.78,$4.87,8.79
2009-12-31,42.31,$4.87,8.69
