UGI Price to Free Cash Flow Ratio Historical Data,UGI Price to Free Cash Flow Ratio Historical Data,UGI Price to Free Cash Flow Ratio Historical Data,UGI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.61,,15.63
2024-12-31,28.23,$2.15,13.12
2024-09-30,24.69,$2.23,11.1
2024-06-30,22.25,$2.48,8.98
2024-03-31,23.46,$2.20,10.67
2023-12-31,23.16,$2.80,8.28
2023-09-30,21.31,$0.78,27.42
2023-06-30,24.6,$-0.74,0.0
2023-03-31,31.28,$-0.37,0.0
2022-12-31,33.03,$1.37,24.06
2022-09-30,28.54,$-0.20,0.0
2022-06-30,33.77,$2.54,13.28
2022-03-31,31.39,$2.49,12.59
2021-12-31,39.4,$0.36,108.13
2021-09-30,36.3,$3.91,9.28
2021-06-30,39.13,$2.56,15.29
2021-03-31,34.4,$2.71,12.7
2020-12-31,29.09,$2.26,12.87
2020-09-30,27.19,$2.13,12.76
2020-06-30,25.95,$2.04,12.71
2020-03-31,21.54,$1.55,13.93
2019-12-31,36.1,$2.24,16.08
2019-09-30,39.89,$2.06,19.37
2019-06-30,42.1,$2.25,18.73
2019-03-31,43.44,$2.67,16.24
2018-12-31,41.62,$3.06,13.62
2018-09-30,43.09,$2.89,14.92
2018-06-30,40.25,$2.70,14.93
2018-03-31,34.16,$2.24,15.24
2017-12-31,35.9,$1.58,22.73
2017-09-30,35.64,$1.84,19.4
2017-06-30,36.63,$1.67,21.98
2017-03-31,37.2,$1.60,23.18
2016-12-31,34.52,$1.94,17.8
2016-09-30,33.72,$2.31,14.58
2016-06-30,33.55,$3.00,11.19
2016-03-31,29.71,$3.50,8.5
2015-12-31,24.75,$4.45,5.56
2015-09-30,25.34,$3.83,6.61
2015-06-30,24.91,$3.73,6.68
2015-03-31,23.41,$4.07,5.75
2014-12-31,27.1,$2.83,9.57
2014-09-30,24.19,$3.13,7.73
2014-06-30,23.74,$2.59,9.17
2014-03-31,21.31,$1.58,13.45
2013-12-31,19.25,$1.83,10.54
2013-09-30,18.04,$1.82,9.91
2013-06-30,17.9,$2.48,7.23
2013-03-31,17.44,$2.80,6.22
2012-12-31,14.75,$2.46,6.0
2012-09-30,14.21,$2.16,6.56
2012-06-30,13.05,$1.78,7.34
2012-03-31,11.97,$1.48,8.07
2011-12-31,12.8,$1.22,10.5
2011-09-30,11.33,$1.15,9.9
2011-06-30,13.63,$1.10,12.35
2011-03-31,13.94,$1.29,10.79
2010-12-31,13.28,$1.15,11.57
2010-09-30,11.94,$1.52,7.87
2010-06-30,10.52,$1.62,6.51
2010-03-31,10.87,$1.32,8.23
2009-12-31,9.83,$1.86,5.28
