McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,666.36,,59.47
2024-12-31,569.91,$11.20,50.86
2024-09-30,493.86,$32.24,15.32
2024-06-30,582.64,$23.82,24.46
2024-03-31,535.56,$27.05,19.8
2023-12-31,461.32,$20.13,22.91
2023-09-30,433.29,$30.14,14.38
2023-06-30,425.14,$30.88,13.77
2023-03-31,353.75,$32.36,10.93
2022-12-31,372.12,$27.94,13.32
2022-09-30,336.68,$25.61,13.14
2022-06-30,322.67,$29.43,10.96
2022-03-31,302.38,$25.30,11.95
2021-12-31,245.1,$27.32,8.97
2021-09-30,196.17,$25.47,7.7
2021-06-30,187.73,$20.25,9.27
2021-03-31,190.63,$24.29,7.85
2020-12-31,169.58,$29.41,5.77
2020-09-30,144.87,$21.30,6.8
2020-06-30,148.83,$14.93,9.97
2020-03-31,130.88,$21.30,6.14
2019-12-31,133.45,$15.55,8.58
2019-09-30,131.47,$15.41,8.53
2019-06-30,128.91,$22.75,5.67
2019-03-31,111.93,$17.63,6.35
2018-12-31,105.3,$12.19,8.64
2018-09-30,126.05,$13.20,9.55
2018-06-30,126.38,$9.12,13.86
2018-03-31,133.14,$18.01,7.39
2017-12-31,147.06,$9.98,14.74
2017-09-30,144.52,$12.13,11.92
2017-06-30,154.44,$14.02,11.01
2017-03-31,138.93,$18.75,7.41
2016-12-31,131.37,$24.58,5.35
2016-09-30,155.66,$20.49,7.6
2016-06-30,173.97,$19.09,9.11
2016-03-31,146.34,$12.85,11.39
2015-12-31,183.23,$8.93,20.52
2015-09-30,171.64,$15.53,11.05
2015-06-30,208.25,$12.06,17.26
2015-03-31,209.32,$10.92,19.16
2014-12-31,191.89,$14.44,13.29
2014-09-30,179.75,$8.58,20.95
2014-06-30,171.73,$9.29,18.48
2014-03-31,162.63,$11.66,13.95
2013-12-31,148.45,$9.37,15.84
2013-09-30,117.84,$10.10,11.67
2013-06-30,104.95,$13.99,7.5
2013-03-31,98.78,$8.72,11.33
2012-12-31,88.55,$4.64,19.1
2012-09-30,78.4,$6.75,11.62
2012-06-30,85.24,$6.69,12.75
2012-03-31,79.62,$10.17,7.83
2011-12-31,70.51,$8.88,7.94
2011-09-30,65.62,$9.74,6.74
2011-06-30,75.32,$6.65,11.33
2011-03-31,71.01,$7.41,9.58
2010-12-31,63.08,$5.94,10.62
2010-09-30,55.21,$4.49,12.3
2010-06-30,59.84,$5.70,10.49
2010-03-31,58.4,$7.10,8.23
2009-12-31,55.43,$8.74,6.34
