Ainos Price to Free Cash Flow Ratio Historical Data,Ainos Price to Free Cash Flow Ratio Historical Data,Ainos Price to Free Cash Flow Ratio Historical Data,Ainos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.52,,0.0
2024-12-31,0.46,$-0.61,0.0
2024-09-30,0.48,$-0.76,0.0
2024-06-30,0.81,$-1.04,0.0
2024-03-31,1.14,$-1.05,0.0
2023-12-31,2.05,$-1.17,0.0
2023-09-30,0.62,$-1.18,0.0
2023-06-30,0.68,$-2.01,0.0
