Rand Capital Price to Free Cash Flow Ratio Historical Data,Rand Capital Price to Free Cash Flow Ratio Historical Data,Rand Capital Price to Free Cash Flow Ratio Historical Data,Rand Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.45,,3.27
2024-12-31,19.25,$5.94,3.24
2024-09-30,16.8,$5.23,3.21
2024-06-30,14.99,$-3.47,0.0
2024-03-31,13.53,$-3.40,0.0
2023-12-31,12.35,$-3.23,0.0
2023-09-30,11.97,$-3.30,0.0
2023-06-30,11.61,$-0.32,0.0
2023-03-31,11.75,$-1.67,0.0
2022-12-31,11.49,$0.10,117.5
2022-09-30,12.3,$0.15,83.08
2022-06-30,12.14,$0.25,47.65
2022-03-31,12.47,$-0.79,0.0
2021-12-31,13.85,$-1.53,0.0
2021-09-30,13.05,$-0.62,0.0
2021-06-30,13.47,$-2.10,0.0
2021-03-31,14.41,$-2.97,0.0
2020-12-31,13.99,$-0.27,0.0
2020-09-30,8.22,$0.56,14.81
2020-06-30,8.12,$2.70,3.0
2020-03-31,8.18,$4.17,1.96
2019-12-31,9.79,$5.67,1.73
2019-09-30,9.12,$2.87,3.18
2019-06-30,9.55,$1.51,6.34
2019-03-31,10.35,$0.47,22.25
2018-12-31,9.12,$-4.13,0.0
2018-09-30,8.76,$-2.80,0.0
2018-06-30,9.82,$-2.66,0.0
2018-03-31,9.81,$-7.39,0.0
2017-12-31,11.01,$-8.57,0.0
2017-09-30,10.8,$-7.60,0.0
2017-06-30,10.18,$-11.05,0.0
2017-03-31,11.09,$-10.29,0.0
2016-12-31,11.53,$9.19,1.25
2016-09-30,13.27,$9.91,1.34
2016-06-30,13.77,$11.18,1.23
2016-03-31,16.56,$14.22,1.16
2015-12-31,13.75,$-10.51,0.0
2015-09-30,13.98,$-6.45,0.0
2015-06-30,14.37,$-3.73,0.0
2015-03-31,14.41,$-0.83,0.0
2014-12-31,14.92,$3.87,3.86
2014-09-30,11.27,$-1.36,0.0
2014-06-30,11.35,$-1.39,0.0
2014-03-31,12.73,$-2.90,0.0
2013-12-31,11.16,$-0.71,0.0
2013-09-30,10.76,$0.23,46.51
2013-06-30,11.49,$1.71,6.7
2013-03-31,11.02,$2.87,3.84
2012-12-31,8.54,$4.07,2.1
2012-09-30,9.89,$4.38,2.26
2012-06-30,9.67,$2.44,3.97
2012-03-31,11.49,$2.28,5.04
2011-12-31,11.31,$0.85,13.34
2011-09-30,10.22,$-2.43,0.0
2011-06-30,10.58,$-2.35,0.0
2011-03-31,10.76,$-3.00,0.0
2010-12-31,11.78,$-4.40,0.0
2010-09-30,12.33,$-1.90,0.0
2010-06-30,11.86,$-2.06,0.0
2010-03-31,13.57,$-2.70,0.0
2009-12-31,14.52,$-0.44,0.0
