Southland Holdings Price to Free Cash Flow Ratio Historical Data,Southland Holdings Price to Free Cash Flow Ratio Historical Data,Southland Holdings Price to Free Cash Flow Ratio Historical Data,Southland Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.4,,159.62
2024-12-31,3.25,$0.02,152.58
2024-09-30,3.7,$0.72,5.13
2024-06-30,4.58,$0.26,17.53
2024-03-31,5.15,$0.30,17.0
2023-12-31,5.16,$-0.26,0.0
