Inogen Price to Free Cash Flow Ratio Historical Data,Inogen Price to Free Cash Flow Ratio Historical Data,Inogen Price to Free Cash Flow Ratio Historical Data,Inogen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.45,,68.98
2024-12-31,9.17,$0.11,84.91
2024-09-30,9.7,$0.05,186.18
2024-06-30,8.13,$-0.11,0.0
2024-03-31,8.07,$-0.30,0.0
2023-12-31,5.49,$-0.36,0.0
2023-09-30,5.22,$-0.87,0.0
2023-06-30,11.55,$-1.37,0.0
2023-03-31,12.48,$-1.25,0.0
2022-12-31,19.71,$-1.79,0.0
2022-09-30,24.28,$-0.82,0.0
2022-06-30,24.18,$-0.56,0.0
2022-03-31,32.42,$-0.11,0.0
2021-12-31,34.0,$0.81,42.13
2021-09-30,43.09,$1.23,35.03
2021-06-30,65.17,$1.68,38.82
2021-03-31,52.52,$1.59,33.08
2020-12-31,44.68,$1.48,30.1
2020-09-30,29.0,$1.17,24.7
2020-06-30,35.52,$1.56,22.8
2020-03-31,51.66,$1.76,29.3
2019-12-31,68.33,$1.68,40.58
2019-09-30,47.91,$1.83,26.22
2019-06-30,66.76,$1.68,39.63
2019-03-31,95.37,$1.73,55.18
2018-12-31,124.17,$2.31,53.83
2018-09-30,244.12,$2.35,103.94
2018-06-30,186.33,$2.57,72.45
2018-03-31,122.84,$2.50,49.12
2017-12-31,119.08,$2.63,45.29
2017-09-30,95.1,$2.30,41.29
2017-06-30,95.42,$1.98,48.15
2017-03-31,77.56,$1.78,43.59
2016-12-31,67.17,$1.39,48.34
2016-09-30,59.9,$2.13,28.19
2016-06-30,50.11,$2.19,22.9
2016-03-31,44.98,$1.66,27.04
2015-12-31,40.09,$1.74,23.09
2015-09-30,48.55,$1.04,46.88
2015-06-30,44.6,$0.70,63.81
2015-03-31,31.99,$1.21,26.42
2014-12-31,31.37,$0.78,40.0
