Treasure Global Price to Free Cash Flow Ratio Historical Data,Treasure Global Price to Free Cash Flow Ratio Historical Data,Treasure Global Price to Free Cash Flow Ratio Historical Data,Treasure Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.11,,0.7
2024-12-31,0.18,$0.16,1.09
2024-09-30,1.25,$1.12,1.12
2024-06-30,2.84,$-5.51,0.0
2024-03-31,4.02,$-17.26,0.0
2023-12-31,0.09,$-44.20,0.0
2023-09-30,0.26,$-46.08,0.0
2023-06-30,1.03,$-40.35,0.0
