MiNK Therapeutics Price to Free Cash Flow Ratio Historical Data,MiNK Therapeutics Price to Free Cash Flow Ratio Historical Data,MiNK Therapeutics Price to Free Cash Flow Ratio Historical Data,MiNK Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.41,,0.0
2024-09-30,0.75,$-2.88,0.0
2024-06-30,0.95,$-3.42,0.0
2024-03-31,0.91,$-4.05,0.0
2023-12-31,1.07,$-4.61,0.0
2023-09-30,1.1,$-5.07,0.0
2023-06-30,2.1,$-5.52,0.0
2023-03-31,1.9,$-5.71,0.0
2022-12-31,2.61,$-5.68,0.0
2022-09-30,2.11,$-9.34,0.0
