National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data,National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data,National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data,National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.39,,3.3
2024-12-31,37.91,$11.64,3.26
2024-09-30,47.55,$13.62,3.49
2024-06-30,40.19,$12.29,3.27
2024-03-31,37.66,$8.68,4.34
2023-12-31,39.29,$4.24,9.26
2023-09-30,29.66,$2.87,10.33
2023-06-30,32.03,$0.71,44.97
2023-03-31,37.81,$-0.68,0.0
2022-12-31,32.27,$-0.93,0.0
2022-09-30,36.61,$-8.99,0.0
2022-06-30,43.59,$-10.00,0.0
2022-03-31,53.99,$-11.33,0.0
2021-12-31,59.03,$-12.36,0.0
2021-09-30,44.72,$-8.07,0.0
2021-06-30,42.52,$-4.26,0.0
2021-03-31,33.33,$-2.32,0.0
2020-12-31,29.82,$-4.39,0.0
2020-09-30,26.79,$-1.26,0.0
2020-06-30,23.25,$-1.54,0.0
2020-03-31,23.75,$-4.28,0.0
2019-12-31,26.68,$-3.26,0.0
2019-09-30,26.22,$-3.94,0.0
2019-06-30,22.52,$-5.08,0.0
2019-03-31,21.95,$-4.15,0.0
2018-12-31,20.15,$-3.12,0.0
2018-09-30,19.18,$-6.23,0.0
2018-06-30,22.99,$-7.28,0.0
2018-03-31,18.53,$-6.74,0.0
2017-12-31,19.92,$-5.97,0.0
2017-09-30,17.53,$-0.80,0.0
2017-06-30,16.53,$-5.23,0.0
2017-03-31,16.9,$-5.14,0.0
2016-12-31,15.45,$-5.90,0.0
2016-09-30,14.49,$-8.72,0.0
2016-06-30,14.24,$-3.38,0.0
2016-03-31,14.35,$-3.41,0.0
