Laird Superfood Price to Free Cash Flow Ratio Historical Data,Laird Superfood Price to Free Cash Flow Ratio Historical Data,Laird Superfood Price to Free Cash Flow Ratio Historical Data,Laird Superfood Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.0,,71.01
2024-12-31,7.88,$0.08,93.25
2024-09-30,4.96,$0.14,35.94
2024-06-30,5.62,$-0.26,0.0
2024-03-31,2.4,$-0.47,0.0
2023-12-31,0.91,$-1.08,0.0
2023-09-30,1.03,$-1.47,0.0
2023-06-30,0.8,$-1.49,0.0
2023-03-31,0.81,$-1.70,0.0
2022-12-31,0.84,$-1.51,0.0
2022-09-30,1.82,$-2.15,0.0
2022-06-30,1.91,$-2.18,0.0
2022-03-31,3.61,$-2.51,0.0
2021-12-31,13.04,$-2.63,0.0
2021-09-30,19.08,$-2.83,0.0
2021-06-30,29.87,$-4.12,0.0
