Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data,Walgreens Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.12,,20.36
2024-11-30,9.02,$0.55,16.52
2024-08-31,8.99,$0.62,14.5
2024-05-31,15.39,$0.11,134.69
2024-02-29,19.9,$-0.25,0.0
2023-11-30,18.45,$1.46,12.68
2023-08-31,22.88,$2.21,10.35
2023-05-31,26.96,$1.42,19.02
2023-02-28,31.07,$3.19,9.75
2022-11-30,35.82,$3.37,10.62
2022-08-31,29.91,$4.01,7.46
2022-05-31,36.93,$5.14,7.19
2022-02-28,38.38,$5.20,7.38
2021-11-30,36.93,$5.63,6.55
2021-08-31,41.43,$5.81,7.13
2021-05-31,42.57,$6.65,6.4
2021-02-28,38.41,$5.78,6.64
2020-11-30,30.18,$5.72,5.27
2020-08-31,29.82,$5.49,5.43
2020-05-31,33.3,$5.48,6.08
2020-02-29,35.08,$6.17,5.68
2019-11-30,45.29,$5.15,8.8
2019-08-31,38.61,$4.22,9.16
2019-05-31,36.89,$4.61,8.01
2019-02-28,52.78,$4.81,10.97
2018-11-30,62.39,$6.30,9.9
2018-08-31,50.25,$6.93,7.25
2018-05-31,45.45,$5.97,7.61
2018-02-28,49.88,$5.32,9.37
2017-11-30,52.37,$5.97,8.78
2017-08-31,58.34,$5.89,9.91
2017-05-31,57.71,$6.44,8.96
2017-02-28,61.25,$6.86,8.93
2016-11-30,59.82,$6.16,9.71
2016-08-31,56.72,$6.03,9.4
2016-05-31,54.15,$5.25,10.31
2016-02-29,54.98,$5.16,10.66
2015-11-30,58.25,$4.38,13.29
2015-08-31,59.73,$5.01,11.92
2015-05-31,59.01,$4.82,12.25
2015-02-28,56.89,$4.43,12.85
2014-11-30,46.78,$4.23,11.06
2014-08-31,41.06,$2.96,13.88
2014-05-31,48.52,$2.85,17.05
2014-02-28,45.64,$2.75,16.61
2013-11-30,39.55,$2.84,13.95
2013-08-31,31.94,$3.35,9.52
2013-05-31,31.54,$2.72,11.61
2013-02-28,26.88,$3.30,8.14
2012-11-30,22.12,$3.11,7.11
2012-08-31,23.14,$3.27,7.07
2012-05-31,19.6,$2.79,7.03
2012-02-29,21.14,$2.17,9.73
2011-11-30,21.36,$2.11,10.1
2011-08-31,22.14,$2.63,8.42
2011-05-31,27.27,$3.49,7.81
2011-02-28,26.98,$3.21,8.41
2010-11-30,21.6,$2.85,7.58
2010-08-31,16.58,$2.76,6.0
2010-05-31,19.64,$2.50,7.85
2010-02-28,21.52,$2.78,7.74
2009-11-30,23.65,$3.07,7.7
