Mativ Holdings Price to Free Cash Flow Ratio Historical Data,Mativ Holdings Price to Free Cash Flow Ratio Historical Data,Mativ Holdings Price to Free Cash Flow Ratio Historical Data,Mativ Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.25,,7.54
2024-12-31,10.9,$0.83,13.16
2024-09-30,16.86,$1.46,11.54
2024-06-30,16.74,$1.29,13.02
2024-03-31,18.41,$0.95,19.29
2023-12-31,14.95,$0.74,20.27
2023-09-30,13.82,$3.94,3.51
2023-06-30,14.56,$3.56,4.09
2023-03-31,20.17,$3.31,6.09
2022-12-31,19.33,$3.81,5.08
2022-09-30,20.03,$2.12,9.46
2022-06-30,22.42,$2.15,10.44
2022-03-31,24.15,$1.95,12.37
2021-12-31,25.86,$2.26,11.44
2021-09-30,29.57,$1.50,19.7
2021-06-30,34.04,$3.16,10.78
2021-03-31,40.88,$4.40,9.29
2020-12-31,33.27,$4.14,8.04
2020-09-30,24.84,$4.19,5.94
2020-06-30,26.94,$4.42,6.09
2020-03-31,22.1,$4.33,5.1
2019-12-31,32.93,$4.57,7.21
2019-09-30,29.07,$4.29,6.77
2019-06-30,25.44,$3.40,7.47
2019-03-31,29.28,$3.19,9.16
2018-12-31,18.73,$3.56,5.25
2018-09-30,28.64,$3.24,8.83
2018-06-30,32.34,$3.76,8.6
2018-03-31,28.68,$3.66,7.84
2017-12-31,32.87,$3.19,10.32
2017-09-30,29.76,$3.45,8.61
2017-06-30,26.43,$2.67,9.89
2017-03-31,29.08,$2.87,10.15
2016-12-31,31.64,$3.25,9.73
2016-09-30,26.53,$3.88,6.84
2016-06-30,24.03,$3.79,6.34
2016-03-31,21.19,$4.17,5.08
2015-12-31,27.91,$3.94,7.09
2015-09-30,22.63,$4.28,5.29
2015-06-30,25.96,$4.40,5.9
2015-03-31,29.75,$4.14,7.19
2014-12-31,27.06,$4.28,6.33
2014-09-30,26.19,$3.63,7.21
2014-06-30,27.45,$3.83,7.17
2014-03-31,26.54,$3.93,6.75
2013-12-31,31.84,$4.75,6.7
2013-09-30,37.18,$4.59,8.11
2013-06-30,30.48,$5.05,6.03
2013-03-31,23.51,$4.56,5.16
2012-12-31,23.5,$4.67,5.03
2012-09-30,19.78,$4.41,4.48
2012-06-30,20.34,$3.43,5.93
2012-03-31,20.57,$2.66,7.74
2011-12-31,19.75,$0.58,34.27
2011-09-30,16.57,$-0.28,0.0
2011-06-30,16.61,$-0.48,0.0
2011-03-31,14.92,$0.27,54.51
2010-12-31,18.5,$1.61,11.49
2010-09-30,17.1,$1.43,11.99
2010-06-30,14.76,$1.98,7.47
2010-03-31,13.87,$1.58,8.77
2009-12-31,20.46,$1.33,15.37
