Topgolf Callaway Brands Price to Free Cash Flow Ratio Historical Data,Topgolf Callaway Brands Price to Free Cash Flow Ratio Historical Data,Topgolf Callaway Brands Price to Free Cash Flow Ratio Historical Data,Topgolf Callaway Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.61,,13.92
2024-12-31,7.86,$0.47,16.56
2024-09-30,10.98,$0.98,11.19
2024-06-30,15.3,$0.93,16.39
2024-03-31,16.17,$0.11,142.72
2023-12-31,14.34,$-0.58,0.0
2023-09-30,13.84,$-2.19,0.0
2023-06-30,19.85,$-2.87,0.0
2023-03-31,21.62,$-2.72,0.0
2022-12-31,19.75,$-2.82,0.0
2022-09-30,19.26,$-2.09,0.0
2022-06-30,20.4,$-1.60,0.0
2022-03-31,23.42,$-0.93,0.0
2021-12-31,27.44,$-0.25,0.0
2021-09-30,27.63,$1.32,21.01
2021-06-30,33.73,$2.38,14.15
2021-03-31,26.75,$2.30,11.63
2020-12-31,24.01,$2.01,11.97
2020-09-30,19.14,$1.00,19.16
2020-06-30,17.51,$0.62,28.15
2020-03-31,10.21,$0.54,18.82
2019-12-31,21.18,$0.33,63.94
2019-09-30,19.38,$-0.12,0.0
2019-06-30,17.12,$-0.08,0.0
2019-03-31,15.88,$0.41,38.59
2018-12-31,15.25,$0.57,26.69
2018-09-30,24.19,$0.95,25.4
2018-06-30,18.89,$0.68,27.91
2018-03-31,16.28,$0.47,35.0
2017-12-31,13.85,$0.95,14.53
2017-09-30,14.34,$0.84,17.13
2017-06-30,12.69,$0.69,18.44
2017-03-31,10.98,$0.72,15.18
2016-12-31,10.86,$0.64,16.91
2016-09-30,11.5,$0.74,15.63
2016-06-30,10.1,$0.71,14.32
2016-03-31,9.02,$0.38,23.82
2015-12-31,9.3,$0.19,48.54
2015-09-30,8.24,$0.19,43.37
2015-06-30,8.81,$0.41,21.55
2015-03-31,9.38,$0.73,12.78
2014-12-31,7.57,$0.34,22.32
2014-09-30,7.11,$0.10,67.96
2014-06-30,8.16,$0.08,102.87
2014-03-31,10.01,$-0.54,0.0
2013-12-31,8.24,$-0.25,0.0
2013-09-30,6.95,$0.01,0.0
2013-06-30,6.42,$0.12,54.11
2013-03-31,6.45,$-0.59,0.0
2012-12-31,6.32,$-0.70,0.0
2012-09-30,5.96,$-0.95,0.0
2012-06-30,5.73,$-1.28,0.0
2012-03-31,6.54,$-0.85,0.0
2011-12-31,5.34,$0.01,0.0
2011-09-30,4.99,$-0.54,0.0
2011-06-30,5.99,$-0.32,0.0
2011-03-31,6.56,$0.22,29.2
2010-12-31,7.75,$-0.20,0.0
2010-09-30,6.71,$0.26,25.73
2010-06-30,5.78,$0.29,20.26
2010-03-31,8.43,$0.51,16.65
2009-12-31,7.2,$0.06,113.03
