INNOVATE Price to Free Cash Flow Ratio Historical Data,INNOVATE Price to Free Cash Flow Ratio Historical Data,INNOVATE Price to Free Cash Flow Ratio Historical Data,INNOVATE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.74,,1.9
2024-09-30,3.7,$4.61,0.8
2024-06-30,6.05,$9.86,0.61
2024-03-31,7.01,$8.04,0.87
2023-12-31,12.3,$1.24,9.9
2023-09-30,16.2,$1.52,10.69
2023-06-30,17.5,$-5.81,0.0
2023-03-31,29.7,$-5.42,0.0
2022-12-31,18.7,$-3.64,0.0
2022-09-30,7.0,$-6.86,0.0
2022-06-30,17.3,$-3.61,0.0
2022-03-31,36.9,$-5.73,0.0
2021-12-31,37.0,$2.09,17.72
2021-09-30,41.0,$-5.27,0.0
2021-06-30,39.8,$1.50,26.48
2021-03-31,39.4,$2.87,13.73
2020-12-31,32.6,$10.32,3.16
2020-09-30,24.2,$15.16,1.6
2020-06-30,33.4,$22.64,1.48
2020-03-31,15.5,$20.11,0.77
2019-12-31,21.7,$19.40,1.12
2019-09-30,23.5,$59.68,0.39
2019-06-30,23.6,$83.08,0.28
2019-03-31,24.5,$72.83,0.34
2018-12-31,26.4,$65.73,0.4
2018-09-30,61.2,$15.07,4.06
2018-06-30,58.5,$-18.23,0.0
2018-03-31,52.6,$-12.16,0.0
2017-12-31,59.5,$-5.44,0.0
2017-09-30,52.8,$8.10,6.52
2017-06-30,58.8,$5.94,9.9
2017-03-31,62.0,$18.34,3.38
2016-12-31,42.77,$15.79,2.71
2016-09-30,39.31,$10.91,3.6
2016-06-30,31.01,$16.66,1.86
2016-03-31,27.55,$7.52,3.66
2015-12-31,38.15,$-16.69,0.0
2015-09-30,50.56,$-10.09,0.0
2015-06-30,64.55,$-24.73,0.0
2015-03-31,78.97,$-18.56,0.0
2014-12-31,60.8,$1.84,33.03
2014-09-30,33.18,$-9.28,0.0
2014-06-30,28.78,$-7.19,0.0
2014-03-31,26.32,$-18.49,0.0
2013-12-31,20.55,$-23.41,0.0
2013-09-30,24.45,$-23.94,0.0
2013-06-30,27.46,$-17.14,0.0
2013-03-31,25.42,$-18.78,0.0
2012-12-31,25.0,$-5.89,0.0
2012-09-30,27.63,$16.47,1.68
2012-06-30,28.17,$17.05,1.65
2012-03-31,27.32,$18.34,1.49
2011-12-31,21.51,$19.72,1.09
2011-09-30,18.06,$-3.04,0.0
2011-06-30,25.49,$10.48,2.43
2011-03-31,24.79,$11.48,2.16
2010-12-31,21.24,$16.06,1.32
2010-09-30,12.15,$35.04,0.35
2010-06-30,11.98,$20.82,0.58
