Cumulus Media Price to Free Cash Flow Ratio Historical Data,Cumulus Media Price to Free Cash Flow Ratio Historical Data,Cumulus Media Price to Free Cash Flow Ratio Historical Data,Cumulus Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.44,,0.0
2024-12-31,0.67,$-1.34,0.0
2024-09-30,1.31,$-2.22,0.0
2024-06-30,2.04,$-2.35,0.0
2024-03-31,3.59,$-1.31,0.0
2023-12-31,5.32,$1.43,3.73
2023-09-30,5.09,$1.99,2.56
2023-06-30,4.1,$3.07,1.34
2023-03-31,3.69,$2.79,1.32
2022-12-31,6.21,$2.46,2.52
2022-09-30,7.03,$3.33,2.11
2022-06-30,7.73,$3.73,2.07
2022-03-31,9.95,$2.98,3.34
2021-12-31,11.25,$3.15,3.57
2021-09-30,12.25,$0.21,59.58
2021-06-30,14.65,$-0.93,0.0
2021-03-31,9.11,$4.86,1.87
2020-12-31,8.72,$4.78,1.83
2020-09-30,5.37,$6.83,0.79
2020-06-30,3.95,$7.94,0.5
2020-03-31,5.42,$3.88,1.4
2019-12-31,17.57,$3.69,4.76
2019-09-30,14.54,$4.34,3.35
2019-06-30,18.55,$3.46,5.36
