Business First Bancshares Price to Free Cash Flow Ratio Historical Data,Business First Bancshares Price to Free Cash Flow Ratio Historical Data,Business First Bancshares Price to Free Cash Flow Ratio Historical Data,Business First Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.71,,10.92
2024-12-31,25.7,$2.26,11.36
2024-09-30,25.54,$2.27,11.27
2024-06-30,21.52,$2.19,9.81
2024-03-31,21.89,$2.65,8.26
2023-12-31,24.06,$3.19,7.53
2023-09-30,18.19,$3.04,5.98
2023-06-30,14.53,$3.17,4.58
2023-03-31,16.37,$2.80,5.85
2022-12-31,21.04,$2.74,7.68
2022-09-30,20.36,$2.84,7.17
2022-06-30,20.05,$2.57,7.8
2022-03-31,22.76,$2.46,9.26
2021-12-31,26.37,$2.54,10.37
2021-09-30,21.7,$2.83,7.66
2021-06-30,21.18,$3.39,6.26
2021-03-31,21.97,$1.92,11.43
2020-12-31,18.61,$1.48,12.6
2020-09-30,13.64,$0.65,21.11
2020-06-30,13.86,$-0.09,0.0
2020-03-31,12.08,$1.33,9.06
2019-12-31,22.23,$1.55,14.31
2019-09-30,21.67,$1.80,12.02
2019-06-30,22.6,$1.89,11.95
2019-03-31,21.71,$2.22,9.79
