Euro Tech Holdings Price to Free Cash Flow Ratio Historical Data,Euro Tech Holdings Price to Free Cash Flow Ratio Historical Data,Euro Tech Holdings Price to Free Cash Flow Ratio Historical Data,Euro Tech Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.2,,inf
2023-12-31,1.57,0.0,0.0
2023-06-30,1.61,0.0,0.0
2022-12-31,1.37,0.0,0.0
2022-06-30,1.18,0.0,0.0
2021-12-31,1.96,0.0,0.0
2021-06-30,2.12,0.0,0.0
2020-12-31,1.13,0.0,0.0
2019-12-31,0.66,0.0,0.0
2018-12-31,0.55,0.0,0.0
2017-12-31,0.57,0.0,0.0
2016-12-31,0.61,0.0,0.0
2016-03-31,0.55,0.0,0.0
2015-12-31,0.5,0.0,0.0
2014-12-31,0.44,0.0,0.0
2014-06-30,0.72,0.0,0.0
2013-12-31,0.89,0.0,0.0
2013-06-30,0.47,0.0,0.0
2012-12-31,0.64,0.0,0.0
2012-06-30,0.69,0.0,0.0
2011-12-31,0.44,0.0,0.0
2011-06-30,0.82,0.0,0.0
2010-12-31,1.18,0.0,0.0
