Waste Connections Price to Free Cash Flow Ratio Historical Data,Waste Connections Price to Free Cash Flow Ratio Historical Data,Waste Connections Price to Free Cash Flow Ratio Historical Data,Waste Connections Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,189.86,,41.59
2024-12-31,171.58,$4.57,37.58
2024-09-30,178.51,$4.90,36.44
2024-06-30,174.78,$5.09,34.33
2024-03-31,171.15,$4.95,34.59
2023-12-31,148.27,$4.74,31.26
2023-09-30,133.11,$4.64,28.67
2023-06-30,141.4,$4.44,31.82
2023-03-31,137.34,$4.29,32.03
2022-12-31,130.66,$4.42,29.56
2022-09-30,132.95,$4.25,31.26
2022-06-30,121.76,$3.97,30.65
2022-03-31,136.98,$3.82,35.89
2021-12-31,133.37,$3.81,35.02
2021-09-30,123.04,$3.27,37.67
2021-06-30,116.5,$3.31,35.18
2021-03-31,105.15,$3.17,33.22
2020-12-31,99.68,$2.89,34.45
2020-09-30,100.68,$3.28,30.69
2020-06-30,90.8,$3.25,27.96
2020-03-31,74.87,$3.26,22.95
2019-12-31,87.55,$3.32,26.38
2019-09-30,88.53,$3.50,25.31
2019-06-30,91.82,$3.42,26.81
2019-03-31,84.95,$3.42,24.85
2018-12-31,71.06,$3.29,21.58
2018-09-30,76.19,$3.05,24.94
2018-06-30,71.77,$3.15,22.81
2018-03-31,68.27,$2.79,24.46
2017-12-31,67.38,$2.79,24.18
2017-09-30,66.31,$2.95,22.48
2017-06-30,60.95,$2.66,22.88
2017-03-31,55.54,$2.20,25.28
2016-12-31,49.37,$1.97,25.06
2016-09-30,46.81,$1.78,26.37
2016-06-30,45.07,$1.64,27.5
2016-03-31,40.35,$2.34,17.23
2015-12-31,35.11,$2.10,16.71
2015-09-30,30.22,$4.84,6.25
2015-06-30,29.24,$4.89,5.98
2015-03-31,29.79,$4.81,6.19
2014-12-31,27.15,$4.84,5.61
2014-09-30,29.86,$2.56,11.66
2014-06-30,29.79,$2.42,12.31
2014-03-31,26.83,$2.34,11.45
2013-12-31,26.61,$2.38,11.17
2013-09-30,27.52,$-0.97,0.0
2013-06-30,24.8,$-1.28,0.0
2013-03-31,21.56,$-1.08,0.0
2012-12-31,20.12,$-1.31,0.0
2012-09-30,17.88,$1.82,9.81
2012-06-30,17.55,$2.83,6.2
2012-03-31,18.94,$2.50,7.59
2011-12-31,19.15,$2.67,7.17
2011-09-30,19.42,$2.53,7.68
2011-06-30,18.11,$1.52,11.95
2011-03-31,16.32,$1.77,9.24
2010-12-31,15.5,$1.75,8.83
2010-09-30,14.78,$1.61,9.19
2010-06-30,13.0,$2.17,5.99
2010-03-31,12.61,$1.77,7.14
2009-12-31,12.34,$2.05,6.01
