SCYNEXIS Price to Free Cash Flow Ratio Historical Data,SCYNEXIS Price to Free Cash Flow Ratio Historical Data,SCYNEXIS Price to Free Cash Flow Ratio Historical Data,SCYNEXIS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.04,,0.0
2024-12-31,1.21,$-0.49,0.0
2024-09-30,1.49,$-0.46,0.0
2024-06-30,2.0,$-0.17,0.0
2024-03-31,1.47,$1.56,0.94
2023-12-31,2.23,$1.24,1.79
2023-09-30,2.28,$0.74,3.06
2023-06-30,2.95,$0.04,83.81
2023-03-31,3.0,$-1.79,0.0
2022-12-31,1.56,$-1.87,0.0
2022-09-30,2.4,$-2.22,0.0
2022-06-30,1.86,$-2.40,0.0
2022-03-31,3.91,$-2.52,0.0
2021-12-31,6.1,$-2.07,0.0
2021-09-30,5.3,$-3.20,0.0
2021-06-30,7.36,$-2.79,0.0
2021-03-31,7.94,$-3.19,0.0
2020-12-31,7.65,$-4.60,0.0
2020-09-30,4.41,$-5.57,0.0
2020-06-30,7.51,$-6.41,0.0
2020-03-31,7.81,$-6.92,0.0
2019-12-31,9.1,$-6.80,0.0
2019-09-30,10.65,$-5.42,0.0
2019-06-30,13.1,$-5.73,0.0
2019-03-31,15.1,$-5.45,0.0
2018-12-31,4.82,$-6.58,0.0
2018-09-30,12.0,$-6.86,0.0
2018-06-30,16.4,$-7.23,0.0
2018-03-31,13.4,$-8.98,0.0
2017-12-31,23.2,$-9.18,0.0
2017-09-30,24.1,$-12.00,0.0
2017-06-30,17.9,$-8.61,0.0
2017-03-31,27.6,$-11.63,0.0
2016-12-31,31.9,$-15.43,0.0
2016-09-30,38.7,$-17.52,0.0
2016-06-30,21.7,$-22.08,0.0
2016-03-31,40.3,$-21.58,0.0
2015-12-31,62.1,$-20.66,0.0
2015-09-30,72.8,$-21.03,0.0
2015-06-30,87.9,$-19.98,0.0
2015-03-31,83.0,$-22.68,0.0
