Stellar Bancorp Price to Free Cash Flow Ratio Historical Data,Stellar Bancorp Price to Free Cash Flow Ratio Historical Data,Stellar Bancorp Price to Free Cash Flow Ratio Historical Data,Stellar Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.4,,10.81
2024-12-31,28.35,$2.53,11.19
2024-09-30,25.77,$3.09,8.35
2024-06-30,22.75,$2.64,8.63
2024-03-31,23.99,$2.87,8.36
2023-12-31,27.26,$3.20,8.53
2023-09-30,20.78,$3.03,6.87
2023-06-30,22.18,$3.54,6.26
2023-03-31,23.72,$3.43,6.92
2022-12-31,28.26,$3.07,9.2
2022-09-30,27.93,$4.04,6.91
2022-06-30,25.28,$4.10,6.17
2022-03-31,29.34,$3.59,8.17
2021-12-31,27.33,$3.68,7.43
2021-09-30,24.75,$3.58,6.92
2021-06-30,25.49,$2.01,12.71
2021-03-31,28.54,$2.21,12.91
2020-12-31,23.6,$1.99,11.88
2020-09-30,15.06,$1.07,14.01
2020-06-30,19.24,$2.17,8.88
2020-03-31,16.2,$2.15,7.54
2019-12-31,28.21,$2.14,13.19
2019-09-30,25.19,$2.24,11.26
2019-06-30,25.34,$2.02,12.57
2019-03-31,29.13,$2.02,14.39
2018-12-31,26.3,$1.92,13.7
2018-09-30,31.79,$3.03,10.48
