LuxUrban Hotels Price to Free Cash Flow Ratio Historical Data,LuxUrban Hotels Price to Free Cash Flow Ratio Historical Data,LuxUrban Hotels Price to Free Cash Flow Ratio Historical Data,LuxUrban Hotels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-16,0.32,,0.0
2024-09-30,0.08,$-42.16,0.0
2024-06-30,0.23,$-47.58,0.0
2024-03-31,1.38,$-48.82,0.0
2023-12-31,5.97,$-35.06,0.0
2023-09-30,4.66,$-28.17,0.0
2023-06-30,3.15,$-64.54,0.0
