Inseego Price to Free Cash Flow Ratio Historical Data,Inseego Price to Free Cash Flow Ratio Historical Data,Inseego Price to Free Cash Flow Ratio Historical Data,Inseego Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.55,,4.21
2024-12-31,10.26,$2.27,4.52
2024-09-30,16.33,$1.59,10.28
2024-06-30,10.66,$1.66,6.41
2024-03-31,2.8,$-0.35,0.0
2023-12-31,2.2,$-0.21,0.0
2023-09-30,4.2,$0.28,15.26
2023-06-30,6.44,$-1.30,0.0
2023-03-31,5.82,$-3.44,0.0
2022-12-31,8.43,$-4.34,0.0
2022-09-30,20.7,$-4.43,0.0
2022-06-30,18.9,$-1.31,0.0
2022-03-31,40.5,$-1.45,0.0
2021-12-31,58.3,$-1.84,0.0
2021-09-30,66.6,$-1.36,0.0
2021-06-30,100.9,$-3.49,0.0
2021-03-31,100.0,$-1.85,0.0
2020-12-31,154.7,$-1.53,0.0
2020-09-30,103.2,$-2.28,0.0
2020-06-30,116.0,$-4.08,0.0
2020-03-31,62.3,$-5.14,0.0
2019-12-31,73.3,$-5.90,0.0
2019-09-30,48.0,$-4.71,0.0
2019-06-30,47.9,$-3.49,0.0
2019-03-31,47.2,$-1.30,0.0
2018-12-31,41.5,$-0.91,0.0
2018-09-30,38.5,$-0.63,0.0
2018-06-30,20.1,$-0.43,0.0
2018-03-31,17.8,$-2.90,0.0
2017-12-31,16.1,$-2.74,0.0
2017-09-30,15.1,$-4.06,0.0
2017-06-30,12.5,$-3.61,0.0
2017-03-31,20.9,$-0.82,0.0
2016-12-31,24.4,$-1.37,0.0
2016-09-30,31.3,$-0.60,0.0
2016-06-30,15.2,$-1.97,0.0
2016-03-31,17.7,$-5.16,0.0
2015-12-31,16.7,$-5.47,0.0
2015-09-30,22.15,$-6.81,0.0
2015-06-30,32.5,$-8.39,0.0
2015-03-31,48.2,$-7.74,0.0
2014-12-31,32.2,$-4.75,0.0
2014-09-30,36.7,$-9.49,0.0
2014-06-30,19.1,$-10.20,0.0
2014-03-31,17.6,$-7.60,0.0
2013-12-31,23.7,$-9.32,0.0
2013-09-30,26.1,$-5.08,0.0
2013-06-30,39.5,$-1.39,0.0
2013-03-31,19.9,$-4.77,0.0
2012-12-31,13.3,$-10.49,0.0
2012-09-30,19.8,$-0.70,0.0
2012-06-30,24.9,$-3.96,0.0
2012-03-31,33.5,$3.54,9.46
2011-12-31,31.3,$-2.35,0.0
2011-09-30,30.2,$-13.87,0.0
2011-06-30,54.8,$-8.23,0.0
2011-03-31,54.6,$-16.27,0.0
2010-12-31,95.5,$-1.45,0.0
2010-09-30,78.8,$3.03,26.04
2010-06-30,57.4,$8.99,6.39
2010-03-31,67.3,$16.00,4.21
2009-12-31,79.7,$9.89,8.06
