Diana Shipping Inc Price to Free Cash Flow Ratio Historical Data,Diana Shipping Inc Price to Free Cash Flow Ratio Historical Data,Diana Shipping Inc Price to Free Cash Flow Ratio Historical Data,Diana Shipping Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.78,,2.97
2024-09-30,2.56,$0.60,4.27
2024-06-30,2.76,$0.69,3.99
2024-03-31,2.72,$0.74,3.66
2023-12-31,2.72,$0.74,3.69
2023-09-30,2.92,$-1.69,0.0
2023-06-30,2.98,$-1.10,0.0
2023-03-31,3.03,$-0.95,0.0
2022-12-31,2.93,$-0.81,0.0
2022-09-30,2.59,$2.12,1.22
2022-06-30,3.29,$1.62,2.03
2022-03-31,3.57,$1.62,2.2
2021-12-31,2.48,$1.23,2.01
2021-09-30,3.28,$0.87,3.77
2021-06-30,2.99,$0.48,6.17
2021-03-31,1.71,$0.30,5.66
2020-12-31,1.11,$0.31,3.56
2020-09-30,0.81,$0.59,1.37
2020-06-30,0.86,$0.72,1.19
2020-03-31,0.85,$0.83,1.02
2019-12-31,1.78,$0.93,1.92
2019-09-30,1.94,$0.85,2.27
2019-06-30,1.9,$0.95,2.0
2019-03-31,1.62,$0.96,1.68
2018-12-31,1.82,$0.88,2.08
2018-09-30,2.36,$-0.66,0.0
2018-06-30,2.76,$-0.81,0.0
2018-03-31,2.1,$-0.95,0.0
2017-12-31,2.33,$-1.05,0.0
2017-09-30,2.08,$-0.56,0.0
2017-06-30,2.33,$-0.70,0.0
2017-03-31,2.65,$-0.79,0.0
2016-12-31,1.73,$-0.90,0.0
2016-09-30,1.5,$-2.17,0.0
2016-06-30,1.39,$-2.00,0.0
2016-03-31,1.53,$-1.88,0.0
2015-12-31,2.49,$-1.66,0.0
2015-09-30,3.71,$-0.95,0.0
2015-06-30,4.04,$-0.92,0.0
2015-03-31,3.51,$-0.85,0.0
2014-12-31,3.84,$-0.84,0.0
2014-09-30,5.12,$-1.85,0.0
2014-06-30,6.24,$-1.78,0.0
2014-03-31,6.87,$-1.72,0.0
2013-12-31,7.61,$-1.62,0.0
2013-09-30,6.92,$-1.23,0.0
2013-06-30,5.75,$-1.07,0.0
2013-03-31,6.11,$-0.89,0.0
2012-12-31,4.18,$-0.65,0.0
2012-09-30,3.7,$0.90,4.11
2012-06-30,4.46,$1.02,4.38
2012-03-31,5.13,$1.11,4.63
2011-12-31,4.29,$1.18,3.63
2011-09-30,4.25,$-1.11,0.0
2011-06-30,6.28,$-1.05,0.0
2011-03-31,6.78,$-0.95,0.0
2010-12-31,6.64,$-1.01,0.0
2010-09-30,7.01,$2.14,3.28
2010-06-30,6.22,$2.08,2.99
2010-03-31,8.35,$1.83,4.56
2009-12-31,7.99,$1.94,4.12
