Jasper Therapeutics Price to Free Cash Flow Ratio Historical Data,Jasper Therapeutics Price to Free Cash Flow Ratio Historical Data,Jasper Therapeutics Price to Free Cash Flow Ratio Historical Data,Jasper Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.31,,0.0
2024-12-31,21.38,$-4.33,0.0
2024-09-30,18.81,$-4.56,0.0
2024-06-30,22.7,$-4.69,0.0
2024-03-31,29.36,$-5.02,0.0
2023-12-31,0.79,$-5.01,0.0
2023-09-30,0.7,$-6.70,0.0
2023-06-30,1.37,$-8.28,0.0
2023-03-31,1.81,$-9.93,0.0
2022-12-31,0.48,$-12.67,0.0
2022-09-30,0.79,$22.72,0.03
2022-06-30,1.93,$46.35,0.04
2022-03-31,3.55,$22.23,0.16
2021-12-31,7.85,$-9.97,0.0
2021-09-30,10.26,$31.12,0.33
2021-06-30,9.94,$-61.24,0.0
2021-03-31,9.9,$-35.19,0.0
2020-12-31,10.01,0,0.0
