ARC Document Solutions Price to Free Cash Flow Ratio Historical Data,ARC Document Solutions Price to Free Cash Flow Ratio Historical Data,ARC Document Solutions Price to Free Cash Flow Ratio Historical Data,ARC Document Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,3.37,,7.55
2024-06-30,2.56,$0.45,5.73
2024-03-31,2.64,$0.57,4.6
2023-12-31,3.07,$0.59,5.17
2023-09-30,2.92,$0.56,5.25
2023-06-30,2.94,$0.74,3.96
2023-03-31,2.83,$0.72,3.92
2022-12-31,2.58,$0.72,3.56
2022-09-30,1.95,$0.69,2.83
2022-06-30,2.22,$0.60,3.72
2022-03-31,3.26,$0.68,4.79
2021-12-31,2.88,$0.75,3.82
2021-09-30,2.41,$0.91,2.66
2021-06-30,1.74,$0.92,1.88
2021-03-31,1.69,$1.19,1.42
2020-12-31,1.18,$1.12,1.06
2020-09-30,0.72,$1.20,0.6
2020-06-30,0.8,$1.15,0.69
2020-03-31,0.64,$0.03,18.79
2019-12-31,1.09,$0.45,2.4
2019-09-30,1.05,$0.11,9.23
2019-06-30,1.58,$0.40,4.0
2018-12-31,1.59,$0.89,1.79
2018-09-30,2.2,$1.39,1.58
2018-06-30,1.37,$1.31,1.05
2018-03-31,1.71,$1.04,1.64
2017-12-31,1.98,$1.48,1.33
2019-03-31,1.73,$0.63,2.73
2017-09-30,3.17,$0.96,3.29
2017-06-30,3.22,$0.97,3.31
2017-03-31,2.67,$0.94,2.84
2016-12-31,3.94,$0.89,4.41
2016-09-30,2.9,$0.87,3.33
2016-06-30,3.02,$1.02,2.95
2016-03-31,3.49,$0.98,3.55
2015-12-31,3.43,$0.96,3.56
2015-09-30,4.61,$0.87,5.3
2015-06-30,5.9,$0.76,7.74
2015-03-31,7.16,$0.73,9.81
2014-12-31,7.92,$0.78,10.15
2014-09-30,6.28,$0.65,9.64
2014-06-30,4.54,$0.73,6.21
2014-03-31,5.77,$0.58,10.02
2013-12-31,6.37,$0.62,10.21
2013-09-30,3.56,$0.56,6.37
2013-06-30,3.1,$0.43,7.27
2013-03-31,2.31,$-0.23,0.0
2012-12-31,1.98,$-0.01,0.0
2012-09-30,3.31,$0.27,12.2
2012-06-30,3.9,$0.16,24.96
2011-12-31,3.56,$0.74,4.81
2011-09-30,2.6,$1.20,2.17
2011-06-30,5.48,$1.10,5.0
2011-03-31,8.02,$1.18,6.81
2010-12-31,5.88,$1.53,3.83
2012-03-31,4.18,$0.90,4.63
2010-09-30,6.09,$1.17,5.21
2010-06-30,6.77,$1.39,4.85
2010-03-31,6.95,$1.72,4.03
2009-12-31,5.43,$1.99,2.73
