Puma Biotechnology Price to Free Cash Flow Ratio Historical Data,Puma Biotechnology Price to Free Cash Flow Ratio Historical Data,Puma Biotechnology Price to Free Cash Flow Ratio Historical Data,Puma Biotechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.41,,4.31
2024-12-31,3.05,$0.79,3.85
2024-09-30,2.55,$0.69,3.67
2024-06-30,3.26,$0.69,4.69
2024-03-31,5.3,$0.74,7.14
2023-12-31,4.33,$0.57,7.66
2023-09-30,2.63,$0.51,5.18
2023-06-30,3.53,$0.67,5.26
2023-03-31,3.09,$0.34,9.06
2022-12-31,4.23,$-0.35,0.0
2022-09-30,2.37,$-0.65,0.0
2022-06-30,2.85,$-0.78,0.0
2022-03-31,2.88,$-0.51,0.0
2021-12-31,3.04,$0.51,5.98
2021-09-30,7.01,$0.50,14.12
2021-06-30,9.18,$0.29,32.03
2021-03-31,9.72,$0.70,13.98
2020-12-31,10.26,$0.02,557.61
2020-09-30,10.09,$0.20,51.69
2020-06-30,10.43,$-0.04,0.0
2020-03-31,8.44,$0.69,12.15
2019-12-31,8.75,$0.57,15.37
2019-09-30,10.77,$0.72,15.02
2019-06-30,12.71,$0.71,17.79
2019-03-31,38.79,$-0.90,0.0
2018-12-31,20.35,$-0.65,0.0
2018-09-30,45.85,$-1.80,0.0
2018-06-30,59.15,$-3.07,0.0
2018-03-31,68.05,$-3.84,0.0
2017-12-31,98.85,$-4.65,0.0
2017-09-30,119.75,$-4.85,0.0
2017-06-30,87.4,$-4.46,0.0
2017-03-31,37.2,$-4.37,0.0
2016-12-31,30.7,$-4.47,0.0
2016-09-30,67.05,$-4.36,0.0
2016-06-30,29.79,$-4.42,0.0
2016-03-31,29.37,$-4.32,0.0
2015-12-31,78.4,$-4.85,0.0
2015-09-30,75.36,$-4.44,0.0
2015-06-30,116.75,$-4.11,0.0
2015-03-31,236.11,$-3.63,0.0
2014-12-31,189.27,$-2.62,0.0
2014-09-30,238.57,$-2.45,0.0
2014-06-30,66.0,$-2.06,0.0
2014-03-31,104.14,$-1.87,0.0
2013-12-31,103.53,$-1.94,0.0
2013-09-30,53.66,$-2.54,0.0
2013-06-30,44.37,$-2.50,0.0
2013-03-31,33.39,$-2.73,0.0
