FIRST US BANCSH Price to Free Cash Flow Ratio Historical Data,FIRST US BANCSH Price to Free Cash Flow Ratio Historical Data,FIRST US BANCSH Price to Free Cash Flow Ratio Historical Data,FIRST US BANCSH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.42,,15.65
2024-09-30,10.99,$0.86,12.82
2024-06-30,9.16,$1.15,7.96
2024-03-31,9.13,$1.28,7.11
2023-12-31,10.11,$1.82,5.56
2023-09-30,8.34,$1.53,5.44
2023-06-30,8.29,$1.74,4.77
2023-03-31,7.21,$1.95,3.69
2022-12-31,8.32,$1.73,4.8
2022-09-30,7.58,$2.28,3.32
2022-06-30,10.45,$1.94,5.39
2022-03-31,11.04,$1.68,6.58
2021-12-31,9.98,$1.64,6.08
2021-09-30,10.08,$1.11,9.12
2021-06-30,10.3,$1.18,8.72
2021-03-31,8.71,$0.93,9.39
2020-12-31,8.42,$0.77,10.98
2020-09-30,6.17,$1.25,4.94
2020-06-30,6.48,$1.27,5.11
2020-03-31,5.67,$1.40,4.05
2019-12-31,10.67,$1.38,7.73
2019-09-30,8.2,$0.97,8.46
2019-06-30,8.45,$1.19,7.08
2019-03-31,9.13,$1.27,7.17
2018-12-31,7.24,$1.45,5.01
2018-09-30,9.86,$1.60,6.18
2018-06-30,10.57,$0.92,11.44
2018-03-31,10.36,$0.26,39.45
2017-12-31,11.57,$-0.37,0.0
2017-09-30,10.38,$-0.51,0.0
2017-06-30,10.11,$-0.33,0.0
2017-03-31,11.15,$0.14,81.23
2016-12-31,9.98,$0.30,32.91
2016-09-30,9.49,$0.64,14.84
2016-06-30,7.96,$0.73,10.9
2016-03-31,7.23,$0.89,8.13
2015-12-31,7.94,$1.25,6.36
2015-09-30,7.22,$1.43,5.04
2015-06-30,7.13,$1.35,5.28
2015-03-31,7.34,$1.92,3.81
2014-12-31,7.8,$2.12,3.67
2014-09-30,7.48,$1.49,5.02
2014-06-30,7.44,$1.85,4.03
2014-03-31,7.77,$1.06,7.35
2013-12-31,6.41,$1.75,3.66
2013-09-30,7.83,$2.63,2.97
2013-06-30,8.69,$2.56,3.39
2013-03-31,7.12,$2.94,2.42
2012-12-31,4.71,$2.58,1.82
2012-09-30,4.95,$2.52,1.97
2012-06-30,4.82,$2.61,1.85
2012-03-31,4.84,$2.58,1.88
2011-12-31,3.66,$2.64,1.38
2011-09-30,4.54,$2.10,2.16
2011-06-30,4.18,$2.25,1.86
2011-03-31,7.6,$2.99,2.54
2010-12-31,9.81,$2.64,3.71
2010-09-30,7.27,$1.69,4.29
2010-06-30,7.75,$1.23,6.32
2010-03-31,12.69,$0.53,24.09
2009-12-31,14.44,$0.40,35.88
