Ecolab Price to Free Cash Flow Ratio Historical Data,Ecolab Price to Free Cash Flow Ratio Historical Data,Ecolab Price to Free Cash Flow Ratio Historical Data,Ecolab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,251.94,,39.44
2024-12-31,234.32,$6.39,36.68
2024-09-30,255.33,$7.02,36.4
2024-06-30,237.46,$7.25,32.77
2024-03-31,229.84,$7.20,31.9
2023-12-31,196.94,$5.75,34.26
2023-09-30,167.71,$5.97,28.07
2023-06-30,184.28,$4.67,39.5
2023-03-31,162.92,$3.79,43.01
2022-12-31,142.78,$3.76,37.97
2022-09-30,141.13,$2.93,48.19
2022-06-30,149.78,$3.65,41.05
2022-03-31,171.4,$4.36,39.35
2021-12-31,227.03,$4.95,45.86
2021-09-30,201.45,$5.28,38.13
2021-06-30,198.47,$4.91,40.44
2021-03-31,205.81,$4.64,44.33
2020-12-31,207.55,$4.74,43.77
2020-09-30,191.28,$4.99,38.36
2020-06-30,189.99,$5.57,34.14
2020-03-31,148.46,$5.91,25.11
2019-12-31,183.35,$5.80,31.6
2019-09-30,187.67,$6.10,30.78
2019-06-30,186.66,$5.84,31.94
2019-03-31,166.5,$4.90,33.96
2018-12-31,138.6,$5.22,26.58
2018-09-30,147.02,$4.16,35.31
2018-06-30,131.25,$3.91,33.61
2018-03-31,127.84,$4.29,29.8
2017-12-31,124.77,$4.20,29.74
2017-09-30,119.23,$3.59,33.24
2017-06-30,122.72,$3.85,31.91
2017-03-31,115.55,$3.86,29.97
2016-12-31,107.75,$4.09,26.35
2016-09-30,111.54,$4.63,24.07
2016-06-30,108.36,$4.87,22.26
2016-03-31,101.59,$5.27,19.27
2015-12-31,103.85,$3.98,26.09
2015-09-30,99.31,$4.07,24.41
2015-06-30,102.04,$3.72,27.42
2015-03-31,102.93,$2.98,34.49
2014-12-31,93.78,$3.38,27.78
2014-09-30,102.7,$3.48,29.53
2014-06-30,99.34,$3.29,30.23
2014-03-31,96.11,$3.04,31.61
2013-12-31,92.57,$3.00,30.84
2013-09-30,87.44,$2.57,34.0
2013-06-30,75.25,$2.56,29.37
2013-03-31,70.63,$2.27,31.12
2012-12-31,63.15,$2.05,30.87
2012-09-30,56.73,$1.13,50.01
2012-06-30,59.8,$0.56,105.96
2012-03-31,53.7,$1.35,39.86
2011-12-31,50.13,$1.33,37.63
2011-09-30,42.24,$2.24,18.87
2011-06-30,48.55,$2.45,19.78
2011-03-31,43.79,$2.37,18.48
2010-12-31,43.12,$2.76,15.63
2010-09-30,43.24,$2.10,20.63
2010-06-30,38.16,$1.90,20.08
2010-03-31,37.22,$2.16,17.25
2009-12-31,37.61,$1.71,22.04
