Piper Sandler Price to Free Cash Flow Ratio Historical Data,Piper Sandler Price to Free Cash Flow Ratio Historical Data,Piper Sandler Price to Free Cash Flow Ratio Historical Data,Piper Sandler Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,257.15,,15.28
2024-12-31,299.95,$16.83,17.83
2024-09-30,283.27,$32.45,8.73
2024-06-30,229.18,$29.58,7.75
2024-03-31,197.07,$15.94,12.36
2023-12-31,172.16,$15.42,11.17
2023-09-30,142.5,$0.43,328.26
2023-06-30,126.21,$1.90,66.33
2023-03-31,134.71,$1.35,99.45
2022-12-31,124.94,$-15.06,0.0
2022-09-30,100.1,$4.03,24.84
2022-06-30,107.82,$13.24,8.14
2022-03-31,124.25,$28.78,4.32
2021-12-31,163.0,$40.49,4.03
2021-09-30,124.0,$27.91,4.44
2021-06-30,115.58,$25.54,4.53
2021-03-31,97.48,$18.26,5.34
2020-12-31,87.85,$51.15,1.72
2020-09-30,63.31,$38.65,1.64
2020-06-30,51.1,$26.87,1.9
2020-03-31,43.54,$18.72,2.33
2019-12-31,67.74,$4.40,15.41
2019-09-30,63.66,$11.97,5.32
2019-06-30,62.31,$18.42,3.38
2019-03-31,60.79,$27.97,2.17
2018-12-31,54.67,$36.80,1.49
2018-09-30,63.06,$8.68,7.26
2018-06-30,63.17,$24.11,2.62
2018-03-31,67.93,$13.31,5.1
2017-12-31,68.95,$15.03,4.59
2017-09-30,47.26,$28.10,1.68
2017-06-30,47.47,$6.70,7.08
2017-03-31,50.3,$17.17,2.93
2016-12-31,56.89,$-1.11,0.0
2016-09-30,37.9,$8.36,4.53
2016-06-30,29.58,$30.63,0.97
2016-03-31,38.89,$31.77,1.22
2015-12-31,31.7,$25.97,1.22
2015-09-30,28.38,$14.94,1.9
2015-06-30,34.24,$-10.50,0.0
2015-03-31,41.17,$-12.12,0.0
2014-12-31,45.58,$-3.82,0.0
2014-09-30,40.99,$24.92,1.64
2014-06-30,40.62,$16.81,2.42
2014-03-31,35.94,$10.96,3.28
2013-12-31,31.03,$2.44,12.74
2013-09-30,26.91,$-21.15,0.0
2013-06-30,24.8,$-3.62,0.0
2013-03-31,26.92,$-12.56,0.0
2012-12-31,25.21,$-13.70,0.0
2012-09-30,19.97,$6.69,2.99
2012-06-30,18.39,$0.09,197.91
2012-03-31,20.89,$-1.83,0.0
2011-12-31,15.85,$12.61,1.26
2011-09-30,14.07,$-9.65,0.0
2011-06-30,22.61,$-6.85,0.0
2011-03-31,32.51,$13.39,2.43
2010-12-31,27.47,$-2.47,0.0
2010-09-30,22.86,$-11.01,0.0
2010-06-30,25.28,$-7.95,0.0
2010-03-31,31.62,$-25.53,0.0
2009-12-31,39.71,$-7.47,0.0
