Vivani Medical Price to Free Cash Flow Ratio Historical Data,Vivani Medical Price to Free Cash Flow Ratio Historical Data,Vivani Medical Price to Free Cash Flow Ratio Historical Data,Vivani Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.1,,0.0
2024-09-30,1.17,$-0.36,0.0
2024-06-30,1.26,$-0.41,0.0
2024-03-31,1.85,$-0.44,0.0
2023-12-31,1.02,$-0.48,0.0
2023-09-30,1.02,$-0.54,0.0
2023-06-30,1.21,$-0.57,0.0
2023-03-31,1.0,$-0.55,0.0
2022-12-31,0.85,$-0.50,0.0
2022-09-30,2.28,$-0.46,0.0
2022-06-30,6.09,$-0.01,0.0
2022-03-31,4.29,$-0.34,0.0
2021-12-31,4.89,$-0.35,0.0
2021-09-30,9.57,$-0.70,0.0
2021-06-30,14.82,$-0.86,0.0
2021-03-31,24.75,$-0.82,0.0
2020-12-31,5.61,$-2.44,0.0
2020-09-30,2.59,$-3.75,0.0
2020-06-30,2.94,$-5.14,0.0
2020-03-31,2.98,$-5.67,0.0
2019-12-31,17.81,$-5.74,0.0
2019-09-30,19.8,$-7.06,0.0
2019-06-30,19.22,$-8.04,0.0
2019-03-31,19.08,$-9.84,0.0
2018-12-31,21.25,$-10.84,0.0
2018-09-30,45.6,$-11.13,0.0
2018-06-30,39.84,$-10.83,0.0
2018-03-31,46.08,$-10.04,0.0
2017-12-31,45.84,$-10.73,0.0
2017-09-30,28.8,$-12.37,0.0
2017-06-30,30.24,$-12.98,0.0
2017-03-31,29.04,$-14.89,0.0
2016-12-31,47.28,$-15.51,0.0
2016-09-30,84.48,$-14.65,0.0
2016-06-30,85.92,$-15.40,0.0
2016-03-31,115.92,$-14.97,0.0
2015-12-31,141.36,$-14.35,0.0
2015-09-30,142.32,$-24.56,0.0
