Omnicom Group Price to Free Cash Flow Ratio Historical Data,Omnicom Group Price to Free Cash Flow Ratio Historical Data,Omnicom Group Price to Free Cash Flow Ratio Historical Data,Omnicom Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.69,,10.06
2024-12-31,86.04,$8.02,10.72
2024-09-30,103.39,$7.45,13.88
2024-06-30,89.09,$6.62,13.46
2024-03-31,95.36,$6.13,15.56
2023-12-31,84.61,$6.67,12.68
2023-09-30,72.26,$3.41,21.17
2023-06-30,91.46,$3.79,24.14
2023-03-31,90.01,$4.14,21.75
2022-12-31,77.22,$4.10,18.84
2022-09-30,59.19,$3.49,16.95
2022-06-30,59.05,$3.62,16.31
2022-03-31,78.01,$5.41,14.41
2021-12-31,66.73,$5.94,11.24
2021-09-30,65.34,$11.83,5.52
2021-06-30,71.43,$10.32,6.92
2021-03-31,65.66,$10.11,6.5
2020-12-31,54.73,$7.63,7.17
2020-09-30,42.98,$6.05,7.1
2020-06-30,46.82,$6.23,7.51
2020-03-31,46.52,$5.16,9.01
2019-12-31,67.92,$7.94,8.55
2019-09-30,65.11,$6.87,9.48
2019-06-30,67.58,$7.16,9.44
2019-03-31,59.71,$7.66,7.8
2018-12-31,59.39,$6.71,8.85
2018-09-30,54.71,$7.55,7.24
2018-06-30,60.82,$6.79,8.96
2018-03-31,57.48,$6.11,9.41
2017-12-31,57.14,$7.99,7.16
2017-09-30,57.65,$5.35,10.78
2017-06-30,64.04,$7.67,8.35
2017-03-31,66.15,$8.56,7.72
2016-12-31,64.88,$7.47,8.69
2016-09-30,64.4,$7.92,8.13
2016-06-30,61.34,$6.88,8.91
2016-03-31,62.24,$7.21,8.64
2015-12-31,56.22,$8.14,6.9
2015-09-30,48.64,$6.57,7.4
2015-06-30,50.92,$5.38,9.46
2015-03-31,56.75,$5.64,10.06
2014-12-31,56.02,$4.95,11.32
2014-09-30,49.47,$4.81,10.29
2014-06-30,50.81,$5.06,10.04
2014-03-31,51.43,$5.27,9.77
2013-12-31,52.4,$6.13,8.54
2013-09-30,44.45,$4.92,9.03
2013-06-30,43.78,$4.36,10.03
2013-03-31,40.75,$3.76,10.83
2012-12-31,34.33,$4.54,7.57
2012-09-30,35.21,$4.92,7.16
2012-06-30,33.01,$5.36,6.15
2012-03-31,34.18,$4.57,7.48
2011-12-31,29.9,$3.99,7.5
2011-09-30,24.56,$4.17,5.89
2011-06-30,31.9,$3.95,8.08
2011-03-31,32.31,$4.62,6.99
2010-12-31,30.01,$4.40,6.83
2010-09-30,25.76,$3.82,6.74
2010-06-30,22.27,$4.25,5.24
2010-03-31,25.06,$5.00,5.01
2009-12-31,25.15,$5.16,4.88
