BGM Group Price to Free Cash Flow Ratio Historical Data,BGM Group Price to Free Cash Flow Ratio Historical Data,BGM Group Price to Free Cash Flow Ratio Historical Data,BGM Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.94,,inf
2024-09-30,7.99,0.0,0.0
2023-09-30,0.79,0.0,0.0
2023-03-31,1.3,0.0,0.0
2022-09-30,1.19,0.0,0.0
