Teck Resources Price to Free Cash Flow Ratio Historical Data,Teck Resources Price to Free Cash Flow Ratio Historical Data,Teck Resources Price to Free Cash Flow Ratio Historical Data,Teck Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.48,,57.33
2024-12-31,40.53,$0.74,54.7
2024-09-30,52.09,$-0.42,0.0
2024-06-30,47.3,$-0.92,0.0
2024-03-31,45.12,$-1.63,0.0
2023-12-31,41.57,$-0.84,0.0
2023-09-30,42.28,$-1.59,0.0
2023-06-30,41.22,$-0.05,0.0
2023-03-31,35.66,$2.75,12.95
2022-12-31,36.5,$5.11,7.14
2022-09-30,29.27,$7.29,4.02
2022-06-30,29.34,$6.88,4.27
2022-03-31,38.68,$3.54,10.92
2021-12-31,27.25,$1.02,26.67
2021-09-30,23.52,$-0.92,0.0
2021-06-30,21.72,$-1.93,0.0
2021-03-31,18.05,$-1.87,0.0
2020-12-31,17.05,$-2.19,0.0
2020-09-30,13.05,$-1.86,0.0
2020-06-30,9.74,$-1.20,0.0
2020-03-31,7.04,$0.15,47.29
2019-12-31,16.1,$0.94,17.18
2019-09-30,15.01,$0.73,20.7
2019-06-30,21.28,$2.20,9.68
2019-03-31,21.36,$2.50,8.56
2018-12-31,19.81,$3.36,5.9
2018-09-30,22.06,$4.75,4.64
2018-06-30,23.26,$3.83,6.07
2018-03-31,23.51,$4.22,5.58
2017-12-31,23.85,$4.53,5.26
2017-09-30,18.93,$4.88,3.88
2017-06-30,15.53,$4.62,3.36
2017-03-31,19.54,$3.28,5.96
2016-12-31,17.87,$2.15,8.32
2016-09-30,16.06,$0.97,16.53
2016-06-30,11.73,$0.62,19.0
2016-03-31,6.76,$0.60,11.32
2015-12-31,3.43,$0.50,6.81
2015-09-30,4.22,$0.78,5.39
2015-06-30,8.71,$0.84,10.36
2015-03-31,11.94,$1.00,11.95
2014-12-31,11.87,$1.23,9.67
2014-09-30,15.91,$1.13,14.13
2014-06-30,19.23,$1.73,11.1
2014-03-31,17.91,$1.31,13.7
2013-12-31,21.49,$1.72,12.5
2013-09-30,21.78,$1.64,13.24
2013-06-30,17.34,$0.90,19.2
2013-03-31,22.42,$1.78,12.63
2012-12-31,28.94,$1.69,17.13
2012-09-30,23.15,$2.76,8.4
2012-06-30,24.32,$4.30,5.65
2012-03-31,27.69,$5.23,5.3
2011-12-31,27.32,$4.67,5.85
2011-09-30,22.41,$4.39,5.11
2011-06-30,38.95,$3.48,11.18
2011-03-31,40.43,$2.64,15.32
2010-12-31,47.15,$3.18,14.82
2010-09-30,31.22,$2.62,11.93
2010-06-30,22.44,$2.62,8.57
2010-03-31,32.86,$2.47,13.28
2009-12-31,26.38,$3.58,7.37
